Frame number,19540
First frame,1
Point frequency,250
Analog frequency,250

Time,FINGER,,,ELBOW,,,SHOULDER,,,RIGHTHEAD,,,LEFTHEAD,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,130.597,408.394,637.467,114.268,26.4142,594.822,127.271,-246.352,627.149,338.679,-219.742,789.307,283.397,-201.052,798.532
0.004,130.637,408.405,637.437,114.176,26.3616,594.82,127.277,-246.369,627.112,338.664,-219.75,789.29,283.456,-201.034,798.533
0.008,130.631,408.415,637.389,114.328,26.3394,594.66,127.283,-246.445,627.13,338.697,-219.854,789.265,283.388,-201.111,798.513
0.012,130.704,408.355,637.277,114.328,26.3394,594.66,127.283,-246.463,627.11,338.684,-219.89,789.273,283.449,-201.075,798.498
0.016,130.679,408.333,637.221,114.328,26.3394,594.66,127.299,-246.529,627.119,338.658,-219.94,789.26,283.064,-201.198,798.367
0.02,130.71,408.371,637.152,114.328,26.3394,594.66,127.299,-246.529,627.119,338.674,-220.041,789.279,283.458,-201.166,798.452
0.024,130.834,408.27,637.059,114.328,26.3394,594.66,127.252,-246.543,627.094,338.687,-220.096,789.285,283.497,-201.129,798.468
0.028,130.901,408.259,637.046,114.35,26.3111,594.607,127.31,-246.555,627.136,338.707,-220.151,789.25,283.476,-201.237,798.425
0.032,130.908,408.23,637.033,114.35,26.3111,594.607,127.29,-246.518,627.043,338.707,-220.151,789.25,283.441,-201.215,798.39
0.036,130.861,408.237,636.914,114.35,26.3111,594.607,127.222,-246.559,627.042,338.707,-220.151,789.25,283.412,-201.243,798.397
0.04,130.861,408.237,636.914,114.348,26.276,594.517,127.222,-246.559,627.042,338.689,-220.166,789.254,283.381,-201.305,798.417
0.044,130.902,408.214,636.817,114.348,26.276,594.517,127.167,-246.581,627.027,338.669,-220.18,789.245,283.317,-201.311,798.389
0.048,131.002,408.225,636.774,114.337,26.2753,594.454,127.168,-246.616,627.019,338.709,-220.207,789.24,283.165,-201.38,798.38
0.052,131.009,408.169,636.693,114.337,26.2753,594.454,127.157,-246.627,627.056,338.625,-220.197,789.251,283.133,-201.415,798.391
0.056,131.009,408.169,636.693,114.337,26.2753,594.454,127.167,-246.581,627.027,338.625,-220.197,789.251,283.128,-201.508,798.348
0.06,131.09,408.19,636.662,114.348,26.276,594.517,127.168,-246.616,627.019,338.625,-220.197,789.251,283.134,-201.519,798.383
0.064,131.273,408.227,636.54,114.337,26.2753,594.454,127.17,-246.643,626.994,338.555,-220.2,789.22,283.201,-201.539,798.355
0.068,131.372,408.194,636.48,114.348,26.276,594.517,127.201,-246.653,626.98,338.593,-220.233,789.224,283.241,-201.558,798.382
0.072,131.374,408.231,636.439,114.337,26.2753,594.454,127.216,-246.605,626.921,338.609,-220.264,789.208,283.215,-201.584,798.273
0.076,131.368,408.222,636.345,114.337,26.2753,594.454,127.132,-246.611,626.94,338.48,-220.213,789.207,283.159,-201.625,798.249
0.08,131.38,408.224,636.309,114.337,26.2753,594.454,127.183,-246.669,627.007,338.502,-220.296,789.221,283.208,-201.644,798.33
0.084,131.416,408.21,636.229,114.268,26.2479,594.438,127.124,-246.583,626.897,338.609,-220.41,789.19,283.14,-201.69,798.249
0.088,131.467,408.227,636.207,114.288,26.196,594.43,127.103,-246.63,626.944,338.479,-220.433,789.128,283.202,-201.671,798.277
0.092,131.569,408.222,636.182,114.288,26.196,594.43,127.09,-246.599,626.97,338.566,-220.563,789.098,283.085,-201.745,798.273
0.096,131.688,408.255,636.108,114.219,26.1687,594.414,127.07,-246.65,626.901,338.473,-220.611,789.159,283.142,-201.735,798.273
0.1,131.751,408.196,636.056,114.219,26.1687,594.414,127.06,-246.67,626.958,338.531,-220.708,789.123,283.057,-201.771,798.257
0.104,131.751,408.196,636.056,114.219,26.1687,594.414,127.111,-246.655,626.984,338.626,-220.751,789.189,283.057,-201.771,798.257
0.108,131.751,408.196,636.056,114.772,26.2088,594.25,127.05,-246.697,626.957,338.604,-220.762,789.215,283.057,-201.771,798.257
0.112,131.825,408.187,636.005,114.814,26.1673,594.2,126.955,-246.677,626.932,338.509,-220.719,789.148,283.032,-201.78,798.268
0.116,131.891,408.154,635.933,114.814,26.1673,594.2,126.93,-246.65,626.858,338.509,-220.719,789.148,283.016,-201.793,798.277
0.12,131.977,408.169,635.833,114.814,26.1673,594.2,126.961,-246.659,626.844,338.56,-220.771,789.174,283.045,-201.803,798.272
0.124,132.001,408.141,635.825,114.814,26.1673,594.2,126.862,-246.734,626.807,338.459,-220.763,789.13,283.045,-201.803,798.272
0.128,132.116,408.127,635.778,114.814,26.1673,594.2,126.893,-246.731,626.861,338.501,-220.791,789.125,283.058,-201.816,798.272
0.132,132.185,408.096,635.78,114.814,26.1673,594.2,126.866,-246.803,626.883,338.462,-220.783,789.185,283.093,-201.821,798.263
0.136,132.212,408.124,635.768,114.982,26.1956,594.14,126.942,-246.697,626.797,338.462,-220.783,789.185,283.058,-201.851,798.23
0.14,132.319,408.193,635.666,114.982,26.1956,594.14,126.855,-246.781,626.84,338.462,-220.783,789.185,283.044,-201.874,798.256
0.144,132.394,408.172,635.626,114.982,26.1956,594.14,126.832,-246.724,626.821,338.462,-220.783,789.185,283.116,-201.885,798.291
0.148,132.438,408.147,635.608,114.982,26.1956,594.14,126.872,-246.737,626.789,338.411,-220.805,789.148,283.116,-201.885,798.291
0.152,132.413,408.2,635.549,115.064,26.2396,594.044,126.801,-246.828,626.855,338.332,-220.831,789.157,283.116,-201.885,798.291
0.156,132.506,408.133,635.5,114.982,26.1956,594.14,126.839,-246.778,626.876,338.332,-220.831,789.157,283.116,-201.885,798.291
0.16,132.521,408.141,635.487,115.064,26.2396,594.044,126.777,-246.771,626.835,338.317,-220.845,789.168,283.085,-201.891,798.303
0.164,132.54,408.113,635.453,115.064,26.2396,594.044,126.777,-246.771,626.835,338.35,-220.878,789.174,283.085,-201.891,798.303
0.168,132.566,408.143,635.416,115.064,26.2396,594.044,126.808,-246.781,626.821,338.367,-220.923,789.166,283.085,-201.891,798.303
0.172,132.64,408.147,635.307,115.165,26.3025,594.039,126.801,-246.828,626.855,338.367,-220.923,789.166,283.111,-201.969,798.261
0.176,132.718,408.168,635.265,115.165,26.3025,594.039,126.806,-246.76,626.789,338.367,-220.923,789.166,283.049,-201.939,798.269
0.18,132.777,408.229,635.206,115.165,26.3025,594.039,126.851,-246.71,626.792,338.354,-220.928,789.181,283.111,-201.969,798.261
0.184,132.895,408.272,635.153,115.165,26.3025,594.039,126.759,-246.794,626.855,338.345,-220.978,789.173,283.08,-201.995,798.231
0.188,132.947,408.294,635.159,115.165,26.3025,594.039,126.766,-246.747,626.821,338.345,-220.978,789.173,283.111,-201.969,798.261
0.192,132.99,408.256,635.167,115.165,26.3025,594.039,126.766,-246.747,626.821,338.308,-221.039,789.226,283.008,-201.984,798.196
0.196,133.058,408.317,635.138,115.215,26.2595,594.003,126.86,-246.713,626.774,338.329,-221.049,789.197,283.08,-201.995,798.231
0.2,133.185,408.323,635.054,115.215,26.2595,594.003,126.759,-246.794,626.855,338.329,-221.049,789.197,283.039,-201.957,798.226
0.204,133.2,408.323,635.041,115.215,26.2595,594.003,126.797,-246.757,626.807,338.342,-221.054,789.188,283.008,-201.984,798.196
0.208,133.2,408.323,635.041,115.215,26.2595,594.003,126.759,-246.794,626.855,338.171,-221.069,789.138,282.903,-201.977,798.171
0.212,133.261,408.373,634.963,115.215,26.2595,594.003,126.759,-246.794,626.855,338.085,-221.035,789.047,282.791,-202.034,798.157
0.216,133.277,408.419,634.925,115.215,26.2595,594.003,126.801,-246.774,626.769,338.111,-221.047,789.037,282.756,-202.049,798.111
0.22,133.29,408.433,634.914,115.215,26.2595,594.003,126.759,-246.794,626.855,338.109,-221.074,789.066,282.788,-202.022,798.142
0.224,133.271,408.44,634.829,115.215,26.2595,594.003,126.806,-246.76,626.789,338.106,-221.059,789.033,282.788,-202.022,798.142
0.228,133.366,408.463,634.715,115.714,26.3535,593.838,126.804,-246.825,626.782,338.008,-221.082,789.009,282.788,-202.022,798.142
0.232,133.514,408.47,634.654,115.714,26.3535,593.838,126.801,-246.774,626.769,338.008,-221.082,789.009,282.677,-202.089,798.068
0.236,133.594,408.483,634.594,115.819,26.3449,593.766,126.811,-246.779,626.749,337.913,-221.11,789.011,282.684,-202.073,798.13
0.24,133.713,408.569,634.596,115.865,26.3523,593.789,126.804,-246.825,626.782,337.875,-221.173,788.996,282.744,-202.079,798.134
0.244,133.758,408.52,634.472,115.912,26.3975,593.768,126.801,-246.774,626.769,337.876,-221.168,788.977,282.677,-202.089,798.068
0.248,133.833,408.497,634.437,115.912,26.3975,593.768,126.811,-246.779,626.749,337.858,-221.178,788.964,282.677,-202.089,798.068
0.252,133.852,408.552,634.375,116.032,26.3696,593.763,126.842,-246.788,626.734,337.858,-221.178,788.964,282.595,-202.119,798.049
0.256,133.859,408.545,634.297,115.985,26.3608,593.74,126.759,-246.794,626.729,337.839,-221.192,788.957,282.63,-202.136,798.084
0.26,133.886,408.567,634.285,116.032,26.3696,593.763,126.824,-246.821,626.744,337.848,-221.232,788.936,282.586,-202.146,798.041
0.264,133.894,408.574,634.26,116.032,26.3696,593.763,126.777,-246.789,626.689,337.848,-221.232,788.936,282.466,-202.19,797.987
0.268,133.927,408.57,634.197,116.032,26.3696,593.763,126.811,-246.779,626.749,337.848,-221.232,788.936,282.319,-202.192,797.903
0.272,134.014,408.615,634.127,116.097,26.3267,593.762,126.777,-246.789,626.689,337.801,-221.271,788.946,282.257,-202.162,797.911
0.276,134.043,408.639,634.111,116.097,26.3267,593.762,126.746,-246.78,626.704,337.737,-221.256,788.919,282.334,-202.232,797.854
0.28,134.043,408.639,634.111,116.097,26.3267,593.762,126.746,-246.78,626.704,337.785,-221.337,788.946,282.329,-202.21,797.893
0.284,134.07,408.654,634.064,116.097,26.3267,593.762,126.777,-246.789,626.689,337.776,-221.348,788.961,282.301,-202.237,797.866
0.288,134.139,408.625,634.074,116.088,26.2637,593.816,126.777,-246.789,626.689,337.681,-221.34,788.957,282.329,-202.21,797.893
0.292,134.196,408.606,634.045,116.088,26.2637,593.816,126.777,-246.789,626.689,337.681,-221.34,788.957,282.29,-202.223,797.827
0.296,134.285,408.642,633.983,116.088,26.2637,593.816,126.721,-246.732,626.711,337.701,-221.367,788.969,282.26,-202.24,797.903
0.3,134.403,408.641,633.961,116.088,26.2637,593.816,126.831,-246.774,626.71,337.706,-221.407,788.953,282.265,-202.239,797.833
0.304,134.579,408.645,633.919,116.088,26.2637,593.816,126.721,-246.732,626.711,337.701,-221.367,788.969,282.177,-202.238,797.814
0.308,134.64,408.628,633.917,116.088,26.2637,593.816,126.705,-246.765,626.738,337.706,-221.407,788.953,282.101,-202.276,797.805
0.312,134.729,408.646,633.851,116.088,26.2637,593.816,126.793,-246.756,626.662,337.706,-221.407,788.953,282.161,-202.304,797.796
0.316,134.774,408.673,633.755,116.088,26.2637,593.816,126.752,-246.742,626.697,337.556,-221.401,788.93,282.189,-202.277,797.823
0.32,134.765,408.663,633.707,116.336,26.2726,593.79,126.777,-246.789,626.689,337.583,-221.431,788.94,282.172,-202.319,797.834
0.324,134.833,408.684,633.638,116.336,26.2726,593.79,126.777,-246.789,626.689,337.561,-221.418,788.971,282.2,-202.292,797.862
0.328,134.884,408.701,633.616,116.423,26.3087,593.697,126.746,-246.78,626.704,337.511,-221.438,788.968,282.223,-202.341,797.833
0.332,134.924,408.682,633.585,116.423,26.3087,593.697,126.763,-246.746,626.677,337.511,-221.438,788.968,282.223,-202.341,797.833
0.336,135.007,408.732,633.56,116.409,26.3024,593.639,126.763,-246.746,626.677,337.511,-221.438,788.968,282.195,-202.367,797.806
0.34,135.171,408.686,633.534,116.409,26.3024,593.639,126.763,-246.746,626.677,337.491,-221.454,788.968,282.099,-202.415,797.808
0.344,135.182,408.703,633.526,116.615,26.3057,593.52,126.752,-246.742,626.697,337.521,-221.527,788.981,282.099,-202.415,797.808
0.348,135.239,408.678,633.479,116.615,26.3057,593.52,126.763,-246.746,626.677,337.474,-221.553,788.965,282.14,-202.445,797.847
0.352,135.261,408.669,633.369,116.6,26.3,593.463,126.721,-246.732,626.711,337.5,-221.582,788.974,282.177,-202.434,797.877
0.356,135.386,408.614,633.327,116.615,26.3057,593.52,126.763,-246.746,626.677,337.466,-221.632,788.978,282.148,-202.459,797.849
0.36,135.402,408.627,633.247,116.6,26.3,593.463,126.793,-246.756,626.662,337.453,-221.637,788.993,282.149,-202.511,797.852
0.364,135.457,408.563,633.23,116.6,26.3,593.463,126.793,-246.756,626.662,337.453,-221.637,788.993,282.115,-202.497,797.818
0.368,135.627,408.593,633.181,116.6,26.3,593.463,126.752,-246.742,626.697,337.466,-221.719,789.003,282.072,-202.556,797.89
0.372,135.698,408.593,633.134,116.6,26.3,593.463,126.793,-246.756,626.662,337.466,-221.719,789.003,282.146,-202.566,797.928
0.376,135.776,408.59,633.141,116.6,26.3,593.463,126.793,-246.756,626.662,337.466,-221.719,789.003,282.231,-202.573,797.96
0.38,135.797,408.556,633.117,116.584,26.2943,593.405,126.793,-246.756,626.662,337.454,-221.787,789.043,282.247,-202.693,797.92
0.384,135.822,408.526,633.057,116.584,26.2943,593.405,126.793,-246.756,626.662,337.532,-221.804,789.067,282.306,-202.701,797.978
0.388,135.87,408.496,632.999,116.642,26.3433,593.324,126.793,-246.756,626.662,337.45,-221.822,789.066,282.306,-202.701,797.978
0.392,135.945,408.426,632.989,116.642,26.3433,593.324,126.761,-246.776,626.59,337.524,-221.89,789.116,282.285,-202.716,797.939
0.396,135.954,408.395,632.979,116.642,26.3433,593.324,126.761,-246.776,626.59,337.617,-221.894,789.13,282.264,-202.768,797.939
0.4,135.927,408.412,632.964,116.642,26.3433,593.324,126.71,-246.767,626.519,337.524,-221.89,789.116,282.339,-202.775,798.042
0.404,135.986,408.389,632.935,116.642,26.3433,593.324,126.666,-246.806,626.557,337.617,-221.894,789.13,282.345,-202.798,797.986
0.408,136.065,408.342,632.932,116.642,26.3433,593.324,126.666,-246.806,626.557,337.658,-221.922,789.125,282.418,-202.795,797.973
0.412,136.138,408.349,632.888,116.826,26.3608,593.203,126.637,-246.803,626.529,337.602,-221.951,789.115,282.452,-202.821,797.985
0.416,136.151,408.365,632.857,116.826,26.3608,593.203,126.657,-246.805,626.494,337.596,-221.96,789.132,282.492,-202.835,798.052
0.42,136.187,408.358,632.805,116.826,26.3608,593.203,126.605,-246.795,626.418,337.628,-221.992,789.138,282.539,-202.85,798.014
0.424,136.222,408.369,632.757,116.826,26.3608,593.203,126.558,-246.84,626.436,337.707,-222.01,789.162,282.556,-202.82,798.071
0.428,136.233,408.362,632.747,116.826,26.3608,593.203,126.573,-246.834,626.399,337.711,-222.058,789.216,282.595,-202.921,798.037
0.432,136.273,408.351,632.731,116.834,26.3403,593.148,126.605,-246.795,626.418,337.711,-222.058,789.216,282.585,-202.901,798.017
0.436,136.281,408.339,632.723,116.787,26.3315,593.126,126.515,-246.881,626.41,337.711,-222.058,789.216,282.595,-202.921,798.037
0.44,136.348,408.314,632.742,116.688,26.1203,593.114,126.5,-246.887,626.447,337.72,-222.078,789.229,282.595,-202.921,798.037
0.444,136.321,408.32,632.702,116.751,26.2345,593.101,126.515,-246.881,626.41,337.72,-222.078,789.229,282.625,-202.903,798.067
0.448,136.387,408.296,632.721,116.752,26.0773,593.113,126.515,-246.881,626.41,337.713,-222.087,789.245,282.595,-202.921,798.037
0.452,136.395,408.282,632.686,116.752,26.0773,593.113,126.587,-246.92,626.405,337.713,-222.087,789.245,282.595,-202.921,798.037
0.456,136.395,408.282,632.686,116.752,26.0773,593.113,126.54,-246.941,626.495,337.715,-222.091,789.264,282.595,-202.921,798.037
0.46,136.395,408.282,632.686,116.752,26.0773,593.113,126.593,-246.981,626.498,337.715,-222.091,789.264,282.595,-202.921,798.037
0.464,136.439,408.328,632.65,116.752,26.0773,593.113,126.628,-247.002,626.464,337.715,-222.091,789.264,282.625,-202.903,798.067
0.468,136.387,408.362,632.606,116.695,25.9746,593.122,126.657,-247.005,626.492,337.715,-222.091,789.264,282.585,-202.901,798.017
0.472,136.321,408.326,632.588,116.724,25.8789,593.091,126.676,-247.043,626.569,337.715,-222.091,789.264,282.625,-202.903,798.067
0.476,136.302,408.351,632.533,116.724,25.8789,593.091,126.717,-247.068,626.615,337.715,-222.091,789.264,282.625,-202.903,798.067
0.48,136.348,408.356,632.425,116.724,25.8789,593.091,126.717,-247.068,626.615,337.715,-222.091,789.264,282.543,-202.904,797.976
0.484,136.309,408.365,632.395,116.724,25.8789,593.091,126.738,-247.074,626.661,337.715,-222.091,789.264,282.57,-202.887,798.003
0.488,136.307,408.351,632.349,116.743,25.7391,593.089,126.731,-247.12,626.695,337.715,-222.091,789.264,282.498,-202.871,797.974
0.492,136.33,408.364,632.337,116.825,25.7224,593.041,126.731,-247.12,626.695,337.808,-222.095,789.278,282.56,-202.84,797.991
0.496,136.298,408.31,632.249,116.743,25.7391,593.089,126.81,-247.102,626.731,337.808,-222.095,789.278,282.56,-202.84,797.991
0.5,136.246,408.322,632.214,116.825,25.7224,593.041,126.794,-247.144,626.744,337.808,-222.095,789.278,282.488,-202.825,797.962
0.504,136.246,408.322,632.214,116.825,25.7224,593.041,126.804,-247.162,626.741,337.767,-222.043,789.259,282.461,-202.842,797.936
0.508,136.27,408.338,632.19,116.825,25.7224,593.041,126.804,-247.162,626.741,337.744,-222.003,789.276,282.419,-202.835,797.909
0.512,136.27,408.338,632.19,116.825,25.7224,593.041,126.923,-247.207,626.765,337.69,-221.957,789.31,282.431,-202.804,797.934
0.516,136.235,408.353,632.138,116.926,25.6847,592.993,126.923,-247.207,626.765,337.723,-221.955,789.262,282.431,-202.804,797.934
0.52,136.255,408.351,632.104,116.926,25.6847,592.993,126.923,-247.207,626.765,337.705,-221.943,789.3,282.431,-202.804,797.934
