Frame number,19357
First frame,1
Point frequency,250
Analog frequency,250

Time,FINGER,,,ELBOW,,,SHOULDER,,,RIGHTHEAD,,,LEFTHEAD,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,136.384,435.554,622.68,126.196,48.4282,609.184,154.888,-222.183,637.619,335.128,-216.039,820.264,278.044,-207.155,829.719
0.004,136.441,435.618,622.657,126.311,48.5132,609.165,154.857,-222.195,637.574,335.449,-215.91,820.338,278.147,-207.217,829.676
0.008,136.492,435.595,622.707,126.359,48.4749,609.138,154.921,-222.191,637.645,335.191,-216.078,820.204,278.19,-207.2,829.656
0.012,136.515,435.609,622.682,126.406,48.4545,609.179,154.92,-222.191,637.645,335.2,-216.064,820.197,278.306,-207.18,829.63
0.016,136.618,435.592,622.712,126.365,48.3916,609.256,154.951,-222.129,637.64,335.236,-216.096,820.202,278.329,-207.149,829.617
0.02,136.713,435.615,622.634,126.55,48.4734,609.357,154.954,-222.243,637.661,335.241,-216.089,820.189,278.421,-207.184,829.605
0.024,136.888,435.671,622.651,126.625,48.5081,609.369,154.984,-222.182,637.656,335.632,-215.987,820.286,278.686,-207.195,829.618
0.028,137.086,435.652,622.597,126.625,48.5081,609.369,155.126,-222.125,637.715,335.375,-216.139,820.161,278.731,-207.224,829.608
0.032,137.131,435.645,622.628,126.95,48.5645,609.303,155.244,-222.071,637.74,335.549,-216.19,820.146,278.75,-207.236,829.606
0.036,137.181,435.677,622.672,126.95,48.5645,609.303,155.369,-222.005,637.729,335.549,-216.19,820.146,278.785,-207.241,829.598
0.04,137.288,435.653,622.746,126.95,48.5645,609.303,155.369,-222.005,637.729,336.015,-216.093,820.18,278.854,-207.238,829.576
0.044,137.346,435.646,622.751,127.141,48.545,609.301,155.528,-222.047,637.77,336.105,-216.099,820.187,279.047,-207.211,829.498
0.048,137.506,435.582,622.839,127.429,48.5914,609.209,155.667,-222.006,637.775,336.19,-216.109,820.161,279.092,-207.256,829.497
0.052,137.613,435.582,622.878,127.613,48.773,609.225,155.716,-221.992,637.829,335.729,-216.221,820.094,279.118,-207.212,829.477
0.056,137.662,435.536,622.94,127.613,48.773,609.225,155.798,-222.001,637.8,335.757,-216.234,820.057,279.135,-207.287,829.504
0.06,137.851,435.58,622.977,127.707,48.832,609.222,155.887,-221.978,637.798,335.78,-216.246,820.051,279.223,-207.217,829.468
0.064,137.896,435.587,623.01,127.776,48.8618,609.237,155.939,-221.957,637.77,335.806,-216.238,820.062,279.272,-207.237,829.479
0.068,137.973,435.526,623.059,127.82,48.892,609.301,155.949,-221.911,637.805,335.81,-216.258,820.006,279.404,-207.222,829.451
0.072,138.03,435.534,623.081,127.941,48.9687,609.307,156.001,-221.944,637.783,335.866,-216.219,820.013,279.591,-207.202,829.391
0.076,138.082,435.471,623.175,128.293,49.0626,609.28,156.011,-221.898,637.817,335.886,-216.233,819.974,279.614,-207.192,829.38
0.08,138.109,435.502,623.229,128.623,49.2116,609.206,156.136,-221.879,637.772,336.102,-216.3,819.914,279.733,-207.234,829.355
0.084,138.343,435.518,623.268,128.623,49.2116,609.206,156.156,-221.907,637.765,336.122,-216.307,819.904,279.8,-207.249,829.379
0.088,138.363,435.506,623.334,128.623,49.2116,609.206,156.156,-221.907,637.765,336.17,-216.319,819.901,279.985,-207.27,829.332
0.092,138.449,435.567,623.349,128.649,49.1535,609.231,156.245,-221.867,637.832,336.452,-216.399,819.933,279.985,-207.27,829.332
0.096,138.501,435.536,623.425,128.649,49.1535,609.231,156.45,-221.861,637.822,336.464,-216.379,819.912,280.053,-207.236,829.331
0.1,138.522,435.595,623.494,128.695,49.0957,609.309,156.492,-221.837,637.799,336.503,-216.39,819.888,280.053,-207.236,829.331
0.104,138.587,435.644,623.589,128.695,49.0957,609.309,156.631,-221.856,637.801,337.341,-216.236,819.792,280.156,-207.199,829.31
0.108,138.698,435.678,623.639,128.695,49.0957,609.309,156.794,-221.784,637.737,337.556,-216.282,819.771,280.324,-207.16,829.271
0.112,138.775,435.664,623.718,128.816,49.1828,609.292,156.918,-221.769,637.732,337.439,-216.17,819.561,280.381,-207.174,829.233
0.116,138.927,435.738,623.741,128.814,49.1491,609.331,156.918,-221.769,637.732,337.464,-216.154,819.572,280.401,-207.188,829.233
0.12,139.068,435.714,623.791,128.846,49.0411,609.399,157.014,-221.761,637.683,337.472,-216.091,819.499,280.401,-207.188,829.233
0.124,139.232,435.795,623.801,128.875,49.0356,609.451,157.039,-221.782,637.669,337.635,-216.121,819.465,280.503,-207.218,829.209
0.128,139.258,435.801,623.846,128.992,49.1212,609.434,157.098,-221.762,637.638,337.624,-216.109,819.44,280.519,-207.232,829.21
0.132,139.258,435.801,623.846,129.001,48.9744,609.573,157.098,-221.782,637.7,337.632,-216.089,819.425,280.648,-207.238,829.158
0.136,139.341,435.866,623.889,129.001,48.9744,609.573,157.204,-221.68,637.787,337.663,-216.127,819.425,280.691,-207.239,829.15
0.14,139.398,435.882,623.925,129.001,48.9744,609.573,157.402,-221.604,637.79,337.697,-216.07,819.359,280.733,-207.234,829.14
0.144,139.425,435.871,623.953,129.001,48.9744,609.573,157.468,-221.61,637.758,337.844,-216.067,819.355,280.844,-207.19,829.129
0.148,139.482,435.879,623.993,129.01,48.9751,609.631,157.583,-221.598,637.76,337.889,-215.987,819.328,280.972,-207.147,829.136
0.152,139.507,435.834,624.04,128.934,48.8763,609.788,157.612,-221.601,637.789,337.98,-216.038,819.276,281.015,-207.142,829.125
0.156,139.54,435.862,624.08,128.934,48.8763,609.788,157.612,-221.601,637.789,338.095,-216.025,819.286,281.188,-207.107,829.079
0.16,139.604,435.829,624.132,129.154,48.9345,609.768,157.684,-221.553,637.786,338.32,-216.088,819.261,281.281,-207.082,829.094
0.164,139.653,435.84,624.16,129.423,49.0232,609.78,157.844,-221.474,637.847,338.527,-216.121,819.281,281.395,-207.068,829.06
0.168,139.751,435.885,624.225,129.44,49.0815,609.842,157.847,-221.498,637.875,338.779,-216.11,819.399,281.492,-207.082,829.034
0.172,139.755,435.888,624.247,129.477,49.0838,609.866,157.947,-221.43,637.924,339.004,-216.073,819.448,281.507,-207.118,829.009
0.176,139.827,435.896,624.317,129.487,49.0945,609.931,157.947,-221.43,637.924,339.054,-216.111,819.45,281.62,-207.072,828.975
0.18,139.841,435.9,624.304,129.487,49.0945,609.931,157.984,-221.426,637.947,339.154,-216.161,819.394,281.687,-207.072,828.961
0.184,139.932,435.869,624.332,129.576,49.0913,609.983,157.984,-221.426,637.947,339.158,-216.142,819.378,281.717,-207.059,828.951
0.188,140.044,435.834,624.324,129.73,49.2562,609.97,157.984,-221.426,637.947,339.216,-216.07,819.227,281.822,-207.021,828.932
0.192,140.1,435.913,624.299,129.847,49.3588,609.932,158.122,-221.331,637.99,339.398,-216.006,819.2,281.945,-206.973,828.916
0.196,140.14,435.949,624.338,129.845,49.3773,609.999,158.194,-221.343,637.955,339.422,-216.004,819.174,281.971,-206.982,828.882
0.2,140.222,435.985,624.331,129.845,49.3773,609.999,158.194,-221.343,637.955,339.61,-215.94,819.206,282.008,-206.989,828.877
0.204,140.256,436.029,624.256,129.864,49.3492,610.095,158.168,-221.37,637.97,339.651,-215.921,819.203,282.073,-206.999,828.791
0.208,140.256,436.029,624.256,129.887,49.3492,610.152,158.379,-221.29,637.963,339.678,-215.929,819.137,282.177,-207.042,828.742
0.212,140.355,436.039,624.293,129.996,49.3822,610.191,158.393,-221.312,638.002,340.312,-215.781,819.241,282.262,-207.041,828.724
0.216,140.37,436.043,624.28,129.996,49.3822,610.191,158.39,-221.337,638.028,340.352,-215.812,819.242,282.262,-207.041,828.724
0.22,140.42,436.059,624.25,129.996,49.3822,610.191,158.464,-221.283,638.032,340.436,-215.84,819.188,282.41,-207.007,828.635
0.224,140.42,436.059,624.25,129.996,49.3822,610.191,158.513,-221.252,638.119,340.672,-215.891,819.127,282.502,-207.011,828.529
0.228,140.548,436.042,624.189,130.061,49.3395,610.189,158.513,-221.252,638.119,340.094,-216.26,818.448,282.633,-207.032,828.543
0.232,140.577,436.07,624.172,130.061,49.3395,610.189,158.513,-221.252,638.119,340.887,-215.848,819.012,282.95,-206.935,828.461
0.236,140.587,436.09,624.164,130.183,49.43,610.169,158.513,-221.252,638.119,340.386,-215.881,818.884,283.094,-206.908,828.408
0.24,140.715,436.079,624.208,130.183,49.43,610.169,158.555,-221.254,638.099,340.839,-215.703,818.998,283.137,-206.86,828.39
0.244,140.834,436.067,624.175,130.183,49.43,610.169,158.513,-221.252,638.119,340.914,-215.677,819.006,283.444,-206.757,828.322
0.248,140.937,436.124,624.162,130.295,49.5357,610.123,158.713,-221.266,638.176,341.102,-215.815,818.872,283.489,-206.701,828.32
0.252,141.02,436.137,624.173,130.561,49.5835,610.021,158.713,-221.266,638.176,341.148,-215.81,818.816,283.723,-206.801,828.406
0.256,141.166,436.198,624.198,130.802,49.6365,609.96,158.83,-221.163,638.107,340.945,-216.061,818.691,283.873,-206.811,828.408
0.26,141.217,436.248,624.243,130.802,49.6365,609.96,158.981,-221.104,638.18,341.007,-216.078,818.635,283.876,-206.759,828.396
0.264,141.35,436.316,624.234,130.802,49.6365,609.96,159.028,-221.047,638.212,341.508,-215.971,818.651,283.941,-206.745,828.362
0.268,141.41,436.288,624.294,130.916,49.7142,609.949,159.098,-221.044,638.255,341.619,-215.968,818.598,284.064,-206.708,828.373
0.272,141.425,436.329,624.344,130.916,49.7142,609.949,159.098,-221.044,638.255,341.31,-215.924,818.533,284.163,-206.728,828.394
0.276,141.463,436.371,624.389,131.029,49.806,609.921,159.212,-221.045,638.241,341.956,-215.526,818.989,284.276,-206.739,828.383
0.28,141.518,436.359,624.4,131.029,49.806,609.921,159.311,-221.051,638.217,341.652,-215.769,818.602,284.332,-206.654,828.392
0.284,141.635,436.4,624.427,131.029,49.806,609.921,159.446,-220.962,638.243,341.97,-215.806,818.565,284.445,-206.698,828.357
0.288,141.751,436.521,624.469,131.029,49.806,609.921,159.513,-220.924,638.25,342.298,-215.583,818.88,284.756,-206.582,828.402
0.292,141.781,436.487,624.553,131.029,49.806,609.921,159.513,-220.924,638.25,342.056,-215.812,818.604,284.94,-206.667,828.409
0.296,141.846,436.468,624.592,131.553,49.992,609.834,159.576,-220.884,638.261,342.172,-215.806,818.539,284.95,-206.682,828.411
0.3,141.903,436.506,624.589,131.455,50.0647,609.87,159.576,-220.884,638.261,342.226,-215.785,818.487,284.948,-206.651,828.402
0.304,141.899,436.521,624.613,131.455,50.0647,609.87,159.576,-220.884,638.261,342.651,-215.534,818.778,285.148,-206.599,828.339
0.308,141.907,436.54,624.621,131.517,50.029,609.886,159.599,-220.891,638.285,342.789,-215.483,818.908,285.274,-206.655,828.309
0.312,141.994,436.646,624.586,131.455,50.0647,609.87,159.624,-220.873,638.323,342.831,-215.514,818.797,285.45,-206.639,828.315
0.316,142.046,436.683,624.614,131.815,50.0843,609.776,159.639,-220.849,638.36,342.888,-215.521,818.843,285.411,-206.608,828.279
0.32,142.055,436.708,624.634,131.815,50.0843,609.776,159.674,-220.863,638.383,342.676,-215.805,818.543,285.541,-206.634,828.296
0.324,142.058,436.728,624.678,131.815,50.0843,609.776,159.674,-220.863,638.383,343.119,-215.684,818.772,285.579,-206.607,828.339
0.328,142.16,436.802,624.681,131.753,50.12,609.76,159.7,-220.842,638.412,342.785,-215.847,818.469,285.695,-206.618,828.305
0.332,142.196,436.82,624.7,131.863,50.1603,609.807,159.707,-220.881,638.401,343.158,-215.62,818.715,285.73,-206.537,828.332
0.336,142.215,436.807,624.717,131.935,50.2918,609.794,159.673,-220.837,638.409,343.308,-215.679,818.73,285.781,-206.623,828.343
0.34,142.218,436.838,624.677,131.935,50.2918,609.794,159.776,-220.759,638.467,343.031,-215.903,818.449,285.786,-206.615,828.344
0.344,142.271,436.861,624.682,131.863,50.1603,609.807,159.799,-220.78,638.456,343.039,-215.9,818.435,286.212,-206.415,828.362
0.348,142.253,436.903,624.682,131.863,50.1603,609.807,159.776,-220.759,638.467,343.194,-215.847,818.499,286.281,-206.38,828.374
0.352,142.352,436.892,624.677,131.935,50.2918,609.794,159.865,-220.694,638.462,343.638,-215.647,818.785,286.404,-206.331,828.361
0.356,142.358,436.928,624.647,131.863,50.1603,609.807,159.89,-220.675,638.491,343.328,-215.849,818.506,286.432,-206.317,828.351
0.36,142.286,436.962,624.648,131.935,50.2918,609.794,159.865,-220.694,638.462,343.262,-215.811,818.506,286.47,-206.308,828.34
0.364,142.281,436.977,624.628,131.935,50.2918,609.794,159.964,-220.636,638.455,343.407,-215.784,818.427,286.47,-206.308,828.34
0.368,142.285,436.98,624.65,131.935,50.2918,609.794,159.964,-220.636,638.455,343.721,-215.543,818.688,286.684,-206.186,828.318
0.372,142.313,436.984,624.632,131.935,50.2918,609.794,160.064,-220.635,638.448,343.472,-215.7,818.444,286.641,-206.214,828.272
0.376,142.297,437.027,624.6,131.935,50.2918,609.794,160.088,-220.613,638.483,343.688,-215.717,818.396,286.684,-206.186,828.318
0.38,142.394,437.015,624.585,131.935,50.2918,609.794,160.198,-220.575,638.457,343.715,-215.695,818.341,286.77,-206.16,828.267
0.384,142.394,437.015,624.585,132.011,50.256,609.767,160.188,-220.611,638.476,343.725,-215.676,818.337,287.056,-205.957,828.301
0.388,142.396,436.996,624.583,131.935,50.2918,609.794,160.163,-220.631,638.447,343.746,-215.654,818.332,287.067,-205.921,828.252
0.392,142.394,436.994,624.563,131.935,50.2918,609.794,160.188,-220.611,638.476,343.948,-215.719,818.31,287.024,-205.949,828.206
0.396,142.395,436.976,624.561,131.935,50.2918,609.794,160.186,-220.652,638.435,343.981,-215.74,818.305,286.964,-205.922,828.198
0.4,142.394,436.994,624.563,131.935,50.2918,609.794,160.212,-220.633,638.464,344.291,-215.538,818.583,286.921,-205.914,828.15
0.404,142.395,436.976,624.561,132.011,50.256,609.767,160.212,-220.633,638.464,344.291,-215.538,818.583,286.879,-205.928,828.085
0.408,142.395,436.976,624.561,132.011,50.256,609.767,160.256,-220.633,638.443,344.242,-215.458,818.569,286.921,-205.929,828.077
0.412,142.389,436.95,624.504,132.011,50.256,609.767,160.23,-220.652,638.414,343.932,-215.661,818.29,287.144,-205.823,828.094
0.416,142.389,436.95,624.504,132.011,50.256,609.767,160.256,-220.633,638.443,344.198,-215.374,818.629,287.144,-205.823,828.094
0.42,142.389,436.95,624.504,132.011,50.256,609.767,160.31,-220.615,638.463,343.915,-215.567,818.268,287.126,-205.81,828.093
0.424,142.353,436.931,624.481,132.011,50.256,609.767,160.23,-220.652,638.414,343.946,-215.541,818.242,287.075,-205.764,828.073
0.428,142.389,436.95,624.504,132.011,50.256,609.767,160.256,-220.633,638.443,344.06,-215.487,818.151,287.107,-205.751,828.062
0.432,142.344,436.906,624.461,132.011,50.256,609.767,160.289,-220.579,638.452,344.435,-215.263,818.379,287.09,-205.737,828.062
0.436,142.362,436.866,624.462,132.011,50.256,609.767,160.289,-220.579,638.452,344.632,-215.284,818.341,287.176,-205.703,827.955
0.44,142.362,436.866,624.462,132.011,50.256,609.767,160.263,-220.651,638.441,344.14,-215.433,818.083,287.226,-205.682,827.976
0.444,142.362,436.866,624.462,132.011,50.256,609.767,160.392,-220.658,638.413,343.978,-215.335,818.029,287.204,-205.7,827.913
0.448,142.326,436.892,624.447,131.977,50.176,609.836,160.363,-220.656,638.422,344.464,-215.176,818.186,287.279,-205.608,827.961
0.452,142.358,436.797,624.459,132.011,50.256,609.767,160.337,-220.675,638.393,344,-215.276,818.035,287.273,-205.555,827.875
0.456,142.376,436.811,624.473,131.977,50.176,609.836,160.392,-220.658,638.413,343.956,-215.344,817.928,287.308,-205.544,827.865
0.46,142.372,436.838,624.47,131.91,50.0094,609.887,160.337,-220.675,638.393,344.106,-215.326,817.819,287.353,-205.542,827.855
0.464,142.413,436.83,624.495,131.99,50.1573,609.869,160.388,-220.697,638.401,343.984,-215.199,817.825,287.295,-205.509,827.82
0.468,142.421,436.855,624.516,131.91,50.0094,609.887,160.362,-220.716,638.372,344.518,-214.976,817.98,287.235,-205.48,827.797
0.472,142.421,436.855,624.516,131.99,50.1573,609.869,160.362,-220.716,638.372,344.048,-215.159,817.756,287.184,-205.456,827.775
0.476,142.421,436.855,624.516,131.91,50.0094,609.887,160.388,-220.697,638.401,344.508,-214.949,817.986,287.199,-205.422,827.761
0.48,142.427,436.88,624.573,132.032,50.1423,609.917,160.388,-220.697,638.401,344.011,-215.1,817.699,287.195,-205.406,827.757
0.484,142.427,436.88,624.573,131.951,49.9944,609.936,160.443,-220.679,638.421,344.011,-215.1,817.699,287.195,-205.406,827.757
0.488,142.427,436.88,624.573,132.032,50.1423,609.917,160.413,-220.724,638.401,344.291,-215.038,817.737,287.195,-205.406,827.757
0.492,142.42,436.846,624.61,132.032,50.1423,609.917,160.351,-220.791,638.351,344.441,-214.843,817.996,287.189,-205.391,827.754
0.496,142.425,436.806,624.71,131.951,49.9944,609.936,160.377,-220.771,638.379,343.997,-215.088,817.677,287.151,-205.371,827.718
0.5,142.425,436.806,624.71,131.951,49.9944,609.936,160.377,-220.771,638.379,344.44,-214.854,817.907,287.151,-205.371,827.718
0.504,142.466,436.797,624.747,132.032,50.1423,609.917,160.417,-220.83,638.327,343.89,-215.049,817.621,287.073,-205.38,827.672
0.508,142.445,436.78,624.771,132.237,50.0083,609.909,160.444,-220.784,638.382,344.256,-214.721,817.891,287,-205.374,827.62
0.512,142.445,436.78,624.771,132.097,50.0981,609.909,160.363,-220.847,638.306,343.792,-214.967,817.521,287,-205.374,827.62
0.516,142.469,436.796,624.835,132.167,49.8715,609.952,160.389,-220.827,638.335,343.722,-214.966,817.539,287.04,-205.365,827.609
0.52,142.533,436.804,624.858,132.227,49.8374,609.971,160.361,-220.872,638.333,344.245,-214.711,817.763,287.077,-205.357,827.567
0.524,142.55,436.799,624.927,132.167,49.8715,609.952,160.361,-220.872,638.333,344.19,-214.678,817.828,287.064,-205.343,827.565
