Frame number,19096
First frame,1
Point frequency,250
Analog frequency,250

Time,FINGER,,,ELBOW,,,SHOULDER,,,RIGHTHEAD,,,LEFTHEAD,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,138.38,424.714,630.024,125.192,40.1908,600.339,148.599,-231.436,636.281,313.343,-225.758,824.206,255.208,-221.644,831.652
0.004,138.4,424.694,630.005,125.192,40.1909,600.339,148.596,-231.455,636.314,313.257,-225.729,824.264,255.304,-221.679,831.577
0.008,138.4,424.694,630.005,125.268,40.1705,600.299,148.596,-231.455,636.314,313.289,-225.76,824.272,255.304,-221.679,831.577
0.012,138.444,424.7,629.96,125.454,40.192,600.186,148.624,-231.48,636.33,313.289,-225.76,824.272,255.327,-221.648,831.563
0.016,138.431,424.674,629.948,125.501,40.1492,600.14,148.618,-231.501,636.341,313.332,-225.805,824.286,255.38,-221.687,831.526
0.02,138.431,424.674,629.948,125.501,40.1492,600.14,148.62,-231.535,636.379,313.409,-225.827,824.177,255.469,-221.712,831.55
0.024,138.42,424.649,629.931,125.501,40.1492,600.14,148.618,-231.501,636.341,313.328,-225.813,824.248,255.532,-221.724,831.508
0.028,138.409,424.657,629.941,125.501,40.1492,600.14,148.657,-231.551,636.323,313.5,-225.831,824.195,255.513,-221.762,831.492
0.032,138.42,424.649,629.931,125.501,40.1492,600.14,148.843,-231.568,636.288,313.488,-225.855,824.174,255.523,-221.793,831.455
0.036,138.42,424.649,629.931,125.501,40.1492,600.14,148.868,-231.57,636.285,313.402,-225.826,824.233,255.548,-221.771,831.503
0.04,138.42,424.649,629.931,125.501,40.1492,600.14,148.897,-231.556,636.26,313.488,-225.855,824.174,255.541,-221.805,831.455
0.044,138.42,424.649,629.931,125.501,40.1492,600.14,148.999,-231.551,636.26,313.402,-225.826,824.233,255.567,-221.775,831.479
0.048,138.42,424.649,629.931,125.501,40.1492,600.14,149.001,-231.585,636.298,313.386,-225.789,824.25,255.607,-221.798,831.503
0.052,138.42,424.649,629.931,125.501,40.1492,600.14,149.06,-231.554,636.262,313.605,-225.867,824.148,255.607,-221.842,831.464
0.056,138.39,424.625,629.945,125.501,40.1492,600.14,149.067,-231.577,636.281,313.547,-225.883,824.266,255.627,-221.843,831.451
0.06,138.39,424.625,629.945,125.501,40.1492,600.14,149.061,-231.597,636.29,313.616,-225.961,824.305,255.627,-221.843,831.451
0.064,138.39,424.625,629.945,125.501,40.1492,600.14,149.128,-231.568,636.305,313.727,-226.01,824.214,255.627,-221.843,831.451
0.068,138.379,424.633,629.955,125.524,40.1352,600.172,149.128,-231.568,636.305,313.638,-225.982,824.272,255.635,-221.853,831.459
0.072,138.379,424.633,629.955,125.524,40.1352,600.172,149.085,-231.614,636.326,313.697,-226.021,824.311,255.64,-221.871,831.509
0.076,138.379,424.633,629.955,125.524,40.1352,600.172,149.193,-231.594,636.308,313.791,-226.132,824.333,255.66,-221.839,831.439
0.08,138.363,424.65,629.986,125.524,40.1352,600.172,149.187,-231.613,636.317,313.791,-226.132,824.333,255.66,-221.839,831.439
0.084,138.318,424.654,630.058,125.524,40.1352,600.172,149.162,-231.65,636.307,313.881,-226.151,824.315,255.693,-221.873,831.473
0.088,138.328,424.626,630.083,125.524,40.1352,600.172,149.187,-231.613,636.317,313.791,-226.132,824.333,255.684,-221.864,831.464
0.092,138.331,424.617,630.125,125.524,40.1352,600.172,149.187,-231.613,636.317,313.792,-226.124,824.373,255.693,-221.873,831.473
0.096,138.316,424.589,630.114,125.524,40.1352,600.172,149.214,-231.609,636.351,313.879,-226.16,824.276,255.684,-221.864,831.464
0.1,138.239,424.593,630.254,125.58,40.1056,600.201,149.319,-231.587,636.346,313.882,-226.166,824.291,255.684,-221.864,831.464
0.104,138.232,424.587,630.305,125.58,40.1056,600.201,149.322,-231.675,636.331,313.818,-226.161,824.343,255.731,-221.86,831.426
0.108,138.185,424.588,630.362,125.58,40.1056,600.201,149.317,-231.693,636.34,313.791,-226.132,824.333,255.742,-221.841,831.392
0.112,138.185,424.588,630.362,125.524,40.1352,600.172,149.318,-231.655,636.331,313.95,-226.14,824.339,255.728,-221.856,831.379
0.116,138.192,424.579,630.401,125.58,40.1056,600.201,149.317,-231.693,636.34,313.818,-226.161,824.343,255.843,-221.878,831.35
0.12,138.259,424.525,630.515,125.772,40.1576,600.19,149.414,-231.682,636.306,313.917,-226.174,824.266,255.791,-221.879,831.39
0.124,138.259,424.525,630.515,125.586,40.1385,600.311,149.431,-231.705,636.284,313.828,-226.146,824.324,255.843,-221.878,831.35
0.128,138.217,424.583,630.547,125.586,40.1385,600.311,149.414,-231.682,636.306,313.917,-226.174,824.266,255.843,-221.878,831.35
0.132,138.136,424.589,630.612,125.586,40.1385,600.311,149.435,-231.695,636.297,313.828,-226.146,824.324,255.843,-221.87,831.32
0.136,138.151,424.595,630.626,125.586,40.1385,600.311,149.41,-231.744,636.298,313.828,-226.146,824.324,255.779,-221.869,831.278
0.14,138.115,424.605,630.61,125.586,40.1385,600.311,149.41,-231.744,636.298,313.883,-226.122,824.343,255.801,-221.859,831.267
0.144,138.132,424.672,630.675,125.596,40.1494,600.376,149.488,-231.726,636.258,313.952,-226.205,824.271,255.903,-221.865,831.306
0.148,138.074,424.632,630.736,125.596,40.1494,600.376,149.393,-231.802,636.312,313.892,-226.119,824.33,255.901,-221.885,831.275
0.152,138.001,424.574,630.808,125.596,40.1494,600.376,149.546,-231.77,636.274,314.024,-226.177,824.276,255.979,-221.85,831.237
0.156,137.941,424.566,630.907,125.596,40.1494,600.376,149.552,-231.831,636.227,313.899,-226.186,824.279,255.965,-221.805,831.227
0.16,137.927,424.564,630.92,125.596,40.1494,600.376,149.585,-231.806,636.265,313.899,-226.186,824.279,256.018,-221.816,831.23
0.164,137.833,424.474,631.018,125.541,40.0621,600.484,149.549,-231.845,636.237,313.899,-226.186,824.279,256.018,-221.816,831.23
0.168,137.807,424.474,631.067,125.541,40.0621,600.484,149.631,-231.804,636.242,313.923,-226.196,824.268,256.018,-221.816,831.23
0.172,137.738,424.465,631.159,125.527,40.1603,600.579,149.549,-231.845,636.237,313.923,-226.196,824.268,255.98,-221.764,831.205
0.176,137.695,424.441,631.203,125.523,40.0451,600.67,149.556,-231.929,636.253,314.009,-226.214,824.192,255.987,-221.774,831.213
0.18,137.73,424.467,631.284,125.523,40.0451,600.67,149.604,-231.915,636.221,313.92,-226.186,824.249,255.98,-221.764,831.205
0.184,137.696,424.434,631.421,125.487,39.9056,600.681,149.638,-231.889,636.26,313.975,-226.162,824.268,255.987,-221.774,831.213
0.188,137.667,424.434,631.447,125.356,39.9691,600.765,149.602,-231.927,636.23,313.908,-226.181,824.217,255.987,-221.774,831.213
0.192,137.653,424.42,631.493,125.356,39.9691,600.765,149.627,-232.009,636.285,313.888,-226.154,824.223,256.048,-221.753,831.169
0.196,137.636,424.416,631.522,125.356,39.9691,600.765,149.627,-232.009,636.285,313.89,-226.169,824.168,256.07,-221.744,831.159
0.2,137.572,424.428,631.642,125.309,40.0131,600.815,149.639,-232.025,636.312,313.765,-226.048,824.093,256.112,-221.711,831.153
0.204,137.547,424.429,631.679,125.356,39.9691,600.765,149.683,-232.015,636.334,313.788,-226.069,824.06,256.112,-221.711,831.153
0.208,137.509,424.368,631.798,125.309,40.0131,600.815,149.578,-232.076,636.326,313.889,-226.046,823.964,256.131,-221.71,831.12
0.212,137.538,424.373,631.86,125.309,40.0131,600.815,149.618,-232.089,636.351,313.801,-226.019,824.021,256.07,-221.663,831.073
0.216,137.475,424.365,631.895,125.309,40.0131,600.815,149.76,-232.092,636.361,313.753,-225.971,823.991,256.104,-221.699,831.109
0.22,137.475,424.365,631.895,125.309,40.0131,600.815,149.605,-232.101,636.356,313.753,-225.971,823.991,256.14,-221.671,831.081
0.224,137.427,424.339,631.959,125.309,40.0131,600.815,149.77,-232.139,636.412,313.748,-225.949,823.969,256.14,-221.671,831.081
0.228,137.427,424.339,631.959,125.309,40.0131,600.815,149.691,-232.14,636.365,313.896,-225.937,823.9,256.11,-221.687,831.052
0.232,137.433,424.297,631.982,125.309,40.0131,600.815,149.77,-232.139,636.412,313.799,-225.863,823.956,256.127,-221.676,831.012
0.236,137.405,424.274,632.002,125.309,40.0131,600.815,149.77,-232.139,636.412,313.767,-225.862,823.912,256.121,-221.622,830.908
0.24,137.412,424.279,632.024,125.388,39.9943,600.771,149.7,-232.177,636.41,313.855,-225.889,823.855,256.12,-221.62,830.886
0.244,137.405,424.274,632.002,125.309,40.0131,600.815,149.774,-232.193,636.436,313.855,-225.889,823.855,256.073,-221.617,830.859
0.248,137.349,424.251,632,125.309,40.0131,600.815,149.774,-232.193,636.436,313.822,-225.838,823.931,256.067,-221.607,830.853
0.252,137.349,424.251,632,125.309,40.0131,600.815,149.774,-232.193,636.436,313.781,-225.849,823.914,256.068,-221.618,830.849
0.256,137.333,424.275,631.985,125.203,39.9139,600.859,149.774,-232.193,636.436,313.881,-225.837,823.874,256.075,-221.606,830.842
0.26,137.333,424.275,631.985,125.203,39.9139,600.859,149.774,-232.193,636.436,313.892,-225.833,823.867,256.075,-221.606,830.842
0.264,137.333,424.275,631.985,125.203,39.9139,600.859,149.774,-232.193,636.436,313.822,-225.813,823.839,256.03,-221.56,830.788
0.268,137.333,424.275,631.985,125.325,39.8252,600.825,149.774,-232.193,636.436,313.988,-225.813,823.781,256.015,-221.547,830.788
0.272,137.305,424.334,631.864,125.231,39.9094,600.911,149.774,-232.193,636.436,313.925,-225.837,823.765,255.963,-221.545,830.771
0.276,137.305,424.334,631.864,125.415,39.9898,600.824,149.774,-232.193,636.436,313.925,-225.837,823.765,255.894,-221.508,830.761
0.28,137.305,424.334,631.864,125.231,39.9094,600.911,149.774,-232.193,636.436,313.925,-225.837,823.765,255.878,-221.472,830.743
0.284,137.316,424.352,631.856,125.388,39.9943,600.771,149.774,-232.193,636.436,314.014,-225.825,823.744,255.943,-221.515,830.703
0.288,137.344,424.387,631.791,125.435,39.9505,600.721,149.807,-232.212,636.437,313.877,-225.834,823.761,255.932,-221.509,830.718
0.292,137.356,424.372,631.761,125.388,39.9943,600.771,149.774,-232.193,636.436,313.911,-225.833,823.667,255.947,-221.51,830.668
0.296,137.343,424.373,631.73,125.435,39.9505,600.721,149.818,-232.167,636.412,313.974,-225.807,823.631,255.893,-221.489,830.686
0.3,137.355,424.366,631.725,125.404,39.8064,600.781,149.818,-232.167,636.412,313.912,-225.831,823.615,255.954,-221.493,830.657
0.304,137.37,424.343,631.677,125.487,39.9056,600.681,149.818,-232.167,636.412,313.818,-225.756,823.649,255.949,-221.484,830.65
0.308,137.485,424.374,631.601,125.487,39.9056,600.681,149.846,-232.14,636.396,313.97,-225.76,823.608,255.992,-221.477,830.62
0.312,137.519,424.361,631.555,125.487,39.9056,600.681,149.846,-232.14,636.396,314.016,-225.782,823.592,256.047,-221.513,830.627
0.316,137.518,424.368,631.521,125.444,39.8446,600.627,149.818,-232.167,636.412,314.036,-225.789,823.582,256.047,-221.513,830.627
0.32,137.558,424.384,631.436,125.487,39.9056,600.681,149.846,-232.14,636.396,314.061,-225.797,823.568,256.043,-221.48,830.602
0.324,137.535,424.383,631.403,125.487,39.9056,600.681,149.846,-232.14,636.396,314.061,-225.797,823.568,256.074,-221.444,830.584
0.328,137.563,424.407,631.386,125.487,39.9056,600.681,149.846,-232.14,636.396,313.998,-225.82,823.552,256.065,-221.446,830.59
0.332,137.594,424.374,631.303,125.487,39.9056,600.681,149.805,-232.14,636.369,314.036,-225.808,823.559,256.146,-221.459,830.561
0.336,137.62,424.408,631.301,125.487,39.9056,600.681,149.803,-232.152,636.378,314.195,-225.812,823.579,256.154,-221.334,830.507
0.34,137.654,424.382,631.301,125.487,39.9056,600.681,149.814,-232.114,636.388,314.273,-225.824,823.572,256.124,-221.331,830.548
0.344,137.656,424.388,631.266,125.474,39.8957,600.493,149.873,-232.104,636.374,314.273,-225.824,823.572,256.103,-221.318,830.53
0.348,137.708,424.412,631.243,125.444,39.8446,600.627,149.734,-232.115,636.341,314.299,-225.837,823.563,256.112,-221.255,830.52
0.352,137.722,424.424,631.231,125.446,39.8258,600.561,149.729,-232.076,636.293,314.397,-225.819,823.586,256.082,-221.279,830.507
0.356,137.803,424.44,631.126,125.474,39.8957,600.493,149.729,-232.076,636.293,314.381,-225.797,823.619,256.133,-221.293,830.544
0.36,137.86,424.439,631.149,125.474,39.8957,600.493,149.721,-232.047,636.258,314.397,-225.819,823.586,256.109,-221.248,830.479
0.364,137.846,424.454,631.084,125.748,40.0093,600.322,149.719,-232.058,636.266,314.432,-225.809,823.611,256.165,-221.262,830.462
0.368,137.92,424.442,631.081,125.748,40.0093,600.322,149.779,-231.97,636.214,314.432,-225.809,823.611,256.208,-221.2,830.446
0.372,138.018,424.459,631.002,125.739,39.9985,600.256,149.779,-231.97,636.214,314.432,-225.809,823.611,256.208,-221.2,830.446
0.376,138.027,424.433,630.965,125.739,39.9985,600.256,149.832,-231.948,636.186,314.432,-225.809,823.611,256.208,-221.2,830.446
0.38,138.081,424.406,630.887,125.739,39.9985,600.256,149.876,-231.903,636.133,314.445,-225.801,823.59,256.27,-221.158,830.451
0.384,138.141,424.457,630.856,125.772,40.1576,600.19,149.876,-231.903,636.133,314.449,-225.79,823.578,256.27,-221.158,830.451
0.388,138.141,424.49,630.801,125.792,40.1047,600.215,149.878,-231.88,636.13,314.449,-225.79,823.578,256.39,-221.116,830.433
0.392,138.181,424.507,630.726,125.792,40.1047,600.215,149.876,-231.903,636.133,314.437,-225.76,823.598,256.458,-221.028,830.369
0.396,138.238,424.471,630.689,125.772,40.1576,600.19,149.88,-231.868,636.12,314.453,-225.782,823.565,256.502,-221.037,830.413
0.4,138.261,424.497,630.656,125.772,40.1576,600.19,149.878,-231.88,636.13,314.453,-225.782,823.565,256.54,-220.971,830.387
0.404,138.296,424.492,630.591,125.772,40.1576,600.19,149.88,-231.868,636.12,314.453,-225.782,823.565,256.536,-220.968,830.383
0.408,138.28,424.461,630.575,125.772,40.1576,600.19,149.878,-231.88,636.13,314.419,-225.711,823.532,256.473,-220.943,830.341
0.412,138.269,424.457,630.545,125.772,40.1576,600.19,149.878,-231.88,636.13,314.403,-225.688,823.565,256.433,-220.937,830.302
0.416,138.28,424.454,630.518,125.772,40.1576,600.19,149.878,-231.88,636.13,314.428,-225.697,823.524,256.502,-220.869,830.27
0.42,138.301,424.425,630.505,125.772,40.1576,600.19,149.878,-231.88,636.13,314.477,-225.66,823.567,256.502,-220.869,830.27
0.424,138.281,424.438,630.449,125.772,40.1576,600.19,149.878,-231.88,636.13,314.493,-225.682,823.534,256.547,-220.864,830.314
0.428,138.264,424.409,630.44,125.958,40.1766,600.069,149.878,-231.88,636.13,314.457,-225.612,823.529,256.515,-220.9,830.285
0.432,138.245,424.411,630.389,125.958,40.1766,600.069,149.878,-231.88,636.13,314.458,-225.574,823.524,256.515,-220.9,830.285
0.436,138.268,424.459,630.314,125.958,40.1766,600.069,149.878,-231.88,636.13,314.458,-225.574,823.524,256.531,-220.85,830.297
0.44,138.329,424.518,630.168,125.958,40.1766,600.069,149.905,-231.81,636.109,314.429,-225.493,823.491,256.564,-220.774,830.287
0.444,138.336,424.547,630.116,125.958,40.1766,600.069,149.878,-231.88,636.13,314.438,-225.496,823.509,256.694,-220.73,830.321
0.448,138.336,424.547,630.116,125.958,40.1766,600.069,149.903,-231.824,636.118,314.429,-225.493,823.491,256.664,-220.764,830.293
0.452,138.351,424.523,630.068,125.958,40.1766,600.069,149.975,-231.775,636.12,314.442,-225.484,823.498,256.673,-220.708,830.314
0.456,138.331,424.526,630.002,125.958,40.1766,600.069,149.973,-231.789,636.129,314.428,-225.436,823.495,256.824,-220.613,830.341
0.46,138.356,424.525,629.98,125.958,40.1766,600.069,149.973,-231.789,636.129,314.384,-225.438,823.448,256.87,-220.567,830.335
0.464,138.41,424.583,629.946,125.958,40.1766,600.069,150.008,-231.75,636.157,314.43,-225.287,823.459,256.819,-220.543,830.34
0.468,138.41,424.583,629.946,125.958,40.1766,600.069,150.007,-231.73,636.156,314.43,-225.287,823.459,256.821,-220.487,830.292
0.472,138.41,424.583,629.946,126.043,40.2077,599.983,150.038,-231.674,636.156,314.408,-225.254,823.475,256.646,-220.433,830.289
0.476,138.41,424.583,629.946,126.043,40.2077,599.983,150.038,-231.674,636.156,314.442,-225.178,823.44,256.588,-220.413,830.278
0.48,138.41,424.583,629.946,126.043,40.2077,599.983,150.038,-231.674,636.156,314.456,-225.132,823.443,256.588,-220.413,830.278
0.484,138.41,424.583,629.946,126.043,40.2077,599.983,150.078,-231.666,636.177,314.508,-225.071,823.444,256.724,-220.37,830.246
0.488,138.41,424.583,629.946,126.043,40.2077,599.983,150.078,-231.666,636.177,314.677,-225.106,823.395,256.713,-220.353,830.242
0.492,138.41,424.583,629.946,126.043,40.2077,599.983,150.015,-231.652,636.166,314.657,-225.072,823.373,256.798,-220.324,830.22
0.496,138.39,424.625,629.945,126.043,40.2077,599.983,150.056,-231.644,636.187,314.889,-225.095,823.365,256.745,-220.295,830.229
0.5,138.41,424.583,629.946,126.043,40.2077,599.983,150.068,-231.635,636.138,314.981,-225.06,823.373,256.736,-220.264,830.231
0.504,138.41,424.583,629.946,126.043,40.2077,599.983,150.066,-231.587,636.137,314.987,-225.084,823.341,256.714,-220.252,830.233
0.508,138.41,424.583,629.946,126.043,40.2077,599.983,150.149,-231.561,636.099,314.99,-225.073,823.328,256.714,-220.252,830.233
0.512,138.41,424.583,629.946,126.043,40.2077,599.983,150.154,-231.543,636.09,314.901,-225.005,823.263,256.735,-220.243,830.223
0.516,138.435,424.651,629.918,126.043,40.2077,599.983,150.195,-231.451,636.107,314.875,-224.977,823.253,256.753,-220.16,830.205
0.52,138.454,424.609,629.919,126.043,40.2077,599.983,150.195,-231.451,636.107,314.875,-224.977,823.253,256.847,-220.089,830.195
