Frame number,19570
First frame,1
Point frequency,250
Analog frequency,250

Time,FINGER,,,ELBOW,,,SHOULDER,,,RIGHTHEAD,,,LEFTHEAD,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,136.46,413.643,637.758,128.795,28.2293,607.898,146.483,-245.68,634.707,333.89,-228.865,794.971,277.464,-217.248,804.743
0.004,136.46,413.643,637.758,128.579,28.174,607.915,146.667,-245.309,634.673,333.817,-228.784,794.933,277.351,-217.222,804.708
0.008,136.428,413.677,637.759,128.579,28.174,607.915,146.671,-245.284,634.647,333.817,-228.784,794.933,277.334,-217.207,804.707
0.012,136.444,413.697,637.683,128.612,28.2497,607.855,146.671,-245.284,634.647,333.817,-228.784,794.933,277.295,-217.2,804.712
0.016,136.391,413.669,637.662,128.614,28.2828,607.816,146.671,-245.284,634.647,333.763,-228.742,794.928,277.212,-217.181,804.688
0.02,136.469,413.71,637.587,128.613,28.2828,607.816,146.671,-245.284,634.647,333.793,-228.734,794.956,277.212,-217.181,804.688
0.024,136.456,413.774,637.556,128.613,28.2828,607.816,146.664,-245.236,634.636,333.71,-228.722,794.967,277.212,-217.181,804.688
0.028,136.456,413.774,637.556,128.613,28.2828,607.816,146.664,-245.236,634.636,333.604,-228.634,794.95,277.212,-217.181,804.688
0.032,136.367,413.763,637.539,128.628,28.3562,607.72,146.664,-245.236,634.636,333.604,-228.634,794.95,277.212,-217.181,804.688
0.036,136.367,413.763,637.539,128.435,28.3031,607.723,146.664,-245.216,634.634,333.604,-228.634,794.95,277.17,-217.149,804.695
0.04,136.358,413.8,637.472,128.435,28.3031,607.723,146.636,-245.187,634.633,333.604,-228.634,794.95,277.376,-216.989,804.799
0.044,136.319,413.809,637.443,128.489,28.3733,607.677,146.636,-245.187,634.633,333.686,-228.633,795.008,277.249,-217.025,804.757
0.048,136.293,413.842,637.417,128.489,28.3733,607.677,146.628,-245.162,634.612,333.635,-228.622,795.041,277.219,-217.014,804.76
0.052,136.258,413.867,637.389,128.533,28.4627,607.63,146.628,-245.162,634.612,333.588,-228.573,795.081,277.245,-216.953,804.762
0.056,136.252,413.856,637.365,128.533,28.4627,607.63,146.588,-245.112,634.556,333.588,-228.573,795.081,277.167,-216.992,804.716
0.06,136.271,413.879,637.361,128.513,28.5153,607.605,146.588,-245.112,634.556,333.588,-228.573,795.081,277.245,-216.953,804.762
0.064,136.266,413.868,637.337,128.483,28.4753,607.561,146.565,-245.105,634.532,333.547,-228.528,795.062,277.167,-216.992,804.716
0.068,136.197,413.956,637.27,128.513,28.5153,607.605,146.565,-245.105,634.532,334.291,-228.287,795.299,277.245,-216.953,804.762
0.072,136.197,413.956,637.27,128.501,28.5223,607.504,146.544,-245.071,634.477,333.514,-228.515,795.074,277.335,-216.905,804.776
0.076,136.197,413.956,637.27,128.537,28.583,607.432,146.5,-245.071,634.498,333.514,-228.515,795.074,277.243,-216.9,804.709
0.08,136.197,413.956,637.27,128.439,28.5648,607.517,146.457,-245.034,634.509,333.504,-228.512,795.107,277.189,-216.875,804.715
0.084,136.197,413.956,637.27,128.48,28.6265,607.441,146.457,-245.034,634.509,333.48,-228.474,795.053,277.225,-216.784,804.775
0.088,136.197,413.956,637.27,128.473,28.6303,607.381,146.457,-245.034,634.509,334.181,-228.19,795.294,277.116,-216.814,804.735
0.092,136.16,414.001,637.213,128.417,28.6601,607.353,146.457,-245.034,634.509,334.181,-228.19,795.294,277.088,-216.806,804.738
0.096,136.169,413.993,637.182,128.424,28.6561,607.413,146.457,-245.034,634.509,333.379,-228.393,795.069,277.088,-216.806,804.738
0.1,136.176,414.052,637.158,128.301,28.5761,607.372,146.457,-245.034,634.509,333.379,-228.393,795.069,277.229,-216.711,804.813
0.104,136.176,414.052,637.158,128.417,28.6601,607.353,146.439,-245.007,634.502,333.386,-228.353,795.05,277.154,-216.751,804.769
0.108,136.165,414.035,637.147,128.417,28.6601,607.353,146.397,-244.998,634.432,333.335,-228.307,795.037,277.134,-216.728,804.747
0.112,136.117,414.022,637.102,128.301,28.5761,607.372,146.397,-244.998,634.432,333.288,-228.261,795.021,277.251,-216.678,804.742
0.116,136.057,414.076,637.053,128.301,28.5761,607.372,146.359,-244.993,634.45,333.206,-228.26,794.965,277.251,-216.678,804.742
0.12,136.044,414.093,637.089,128.301,28.5761,607.372,146.345,-244.967,634.438,333.206,-228.26,794.965,277.227,-216.665,804.743
0.124,136.015,414.134,637.016,128.272,28.5814,607.321,146.345,-244.967,634.438,333.087,-228.25,794.939,277.259,-216.636,804.783
0.128,136.015,414.134,637.016,128.272,28.5814,607.321,146.345,-244.967,634.438,333.087,-228.25,794.939,277.218,-216.631,804.789
0.132,135.957,414.156,637.001,128.272,28.5814,607.321,146.345,-244.967,634.438,333.087,-228.25,794.939,277.178,-216.625,804.796
0.136,135.957,414.156,637.001,128.272,28.5814,607.321,146.308,-244.921,634.441,332.909,-228.204,794.896,277.114,-216.597,804.789
0.14,135.957,414.156,637.001,128.272,28.5814,607.321,146.308,-244.921,634.441,332.909,-228.204,794.896,277.032,-216.604,804.743
0.144,135.957,414.156,637.001,128.272,28.5814,607.321,146.308,-244.921,634.441,332.909,-228.204,794.896,277.012,-216.546,804.709
0.148,135.941,414.151,636.986,128.272,28.5814,607.321,146.273,-244.906,634.418,332.909,-228.204,794.896,277.083,-216.487,804.748
0.152,135.893,414.148,636.969,128.313,28.643,607.244,146.264,-244.889,634.421,332.909,-228.204,794.896,277.002,-216.514,804.701
0.156,135.873,414.165,636.952,128.313,28.643,607.244,146.256,-244.877,634.428,332.901,-228.19,794.87,276.938,-216.483,804.688
0.16,135.873,414.165,636.952,128.283,28.6468,607.218,146.246,-244.859,634.431,332.901,-228.19,794.87,276.923,-216.416,804.707
0.164,135.781,414.181,636.916,127.882,28.5205,607.206,146.246,-244.859,634.431,332.901,-228.19,794.87,276.849,-216.442,804.658
0.168,135.781,414.181,636.916,128.118,28.5753,607.166,146.246,-244.859,634.431,332.901,-228.19,794.87,276.849,-216.442,804.658
0.172,135.76,414.164,636.903,127.882,28.5205,607.206,146.246,-244.859,634.431,332.847,-228.146,794.863,276.849,-216.442,804.658
0.176,135.77,414.146,636.802,127.882,28.5205,607.206,146.246,-244.859,634.431,332.806,-228.073,794.842,276.849,-216.442,804.658
0.18,135.78,414.125,636.781,127.882,28.5205,607.206,146.246,-244.859,634.431,332.818,-228.083,794.869,276.849,-216.442,804.658
0.184,135.78,414.125,636.781,127.882,28.5205,607.206,146.246,-244.859,634.431,332.772,-228.07,794.834,276.884,-216.356,804.686
0.188,135.688,414.104,636.751,127.882,28.5205,607.206,146.246,-244.859,634.431,332.753,-228.029,794.834,276.743,-216.369,804.643
0.192,135.71,414.1,636.656,127.882,28.5205,607.206,146.246,-244.859,634.431,332.738,-228.028,794.786,276.743,-216.369,804.643
0.196,135.698,414.107,636.595,127.882,28.5205,607.206,146.246,-244.859,634.431,332.757,-228.017,794.814,276.691,-216.343,804.609
0.2,135.69,414.113,636.535,127.904,28.6244,607.12,146.246,-244.859,634.431,332.73,-227.997,794.813,276.677,-216.307,804.634
0.204,135.677,414.087,636.523,127.904,28.6244,607.12,146.137,-244.857,634.444,332.73,-227.997,794.813,276.677,-216.307,804.634
0.208,135.677,414.087,636.523,127.853,28.515,607.114,146.116,-244.833,634.448,332.742,-228.016,794.766,276.677,-216.307,804.634
0.212,135.681,414.079,636.464,127.926,28.5961,607.068,146.137,-244.857,634.444,332.742,-228.016,794.766,276.654,-216.294,804.635
0.216,135.681,414.079,636.464,128.026,28.6242,606.973,146.116,-244.833,634.448,332.695,-227.97,794.75,276.654,-216.294,804.635
0.22,135.667,414.08,636.501,127.871,28.5059,607.05,146.116,-244.833,634.448,332.695,-227.97,794.75,276.654,-216.294,804.635
0.224,135.681,414.079,636.464,128.026,28.6242,606.973,146.023,-244.839,634.444,332.695,-227.97,794.75,276.694,-216.283,804.623
0.228,135.663,414.065,636.445,128.026,28.6242,606.973,146.023,-244.839,634.444,332.626,-227.917,794.709,276.654,-216.294,804.635
0.232,135.7,414.033,636.397,128.026,28.6242,606.973,145.927,-244.832,634.468,332.626,-227.917,794.709,276.654,-216.294,804.635
0.236,135.7,414.033,636.397,127.943,28.4688,606.849,145.852,-244.844,634.449,332.626,-227.917,794.709,276.596,-216.275,804.583
0.24,135.7,414.033,636.397,127.943,28.4688,606.849,145.852,-244.844,634.449,332.626,-227.917,794.709,276.673,-216.231,804.627
0.244,135.697,414.029,636.341,127.943,28.4688,606.849,145.852,-244.844,634.449,332.626,-227.917,794.709,276.566,-216.259,804.547
0.248,135.697,414.044,636.362,127.943,28.4688,606.849,145.852,-244.844,634.449,332.626,-227.917,794.709,276.603,-216.226,804.602
0.252,135.697,414.029,636.341,127.943,28.4688,606.849,145.852,-244.844,634.449,332.626,-227.917,794.709,276.566,-216.259,804.547
0.256,135.697,414.029,636.341,127.943,28.4688,606.849,145.852,-244.844,634.449,332.637,-227.919,794.675,276.566,-216.259,804.547
0.26,135.643,414.007,636.34,127.943,28.4688,606.849,145.852,-244.844,634.449,332.637,-227.919,794.675,276.566,-216.259,804.547
0.264,135.643,414.007,636.34,127.873,28.4355,606.8,145.852,-244.844,634.449,332.624,-227.911,794.65,276.566,-216.259,804.547
0.268,135.587,413.964,636.298,127.873,28.4355,606.8,145.8,-244.86,634.476,332.599,-227.914,794.624,276.566,-216.259,804.547
0.272,135.587,413.964,636.298,127.873,28.4355,606.8,145.8,-244.86,634.476,332.571,-227.929,794.606,276.566,-216.259,804.547
0.276,135.578,413.963,636.324,127.827,28.428,606.777,145.677,-244.906,634.495,332.556,-227.917,794.574,276.566,-216.259,804.547
0.28,135.554,413.938,636.304,127.827,28.428,606.777,145.677,-244.906,634.495,332.529,-227.949,794.577,276.566,-216.259,804.547
0.284,135.521,413.973,636.29,127.873,28.4355,606.8,145.677,-244.906,634.495,332.502,-227.938,794.531,276.566,-216.259,804.547
0.288,135.554,413.938,636.304,127.827,28.428,606.777,145.677,-244.906,634.495,332.502,-227.955,794.551,276.566,-216.259,804.547
0.292,135.554,413.938,636.304,127.827,28.428,606.777,145.596,-244.894,634.527,332.502,-227.938,794.531,276.527,-216.269,804.558
0.296,135.521,413.973,636.29,127.726,28.3649,606.781,145.596,-244.894,634.527,332.502,-227.955,794.551,276.527,-216.269,804.558
0.3,135.521,413.973,636.29,127.726,28.3649,606.781,145.596,-244.894,634.527,332.502,-227.955,794.551,276.439,-216.31,804.507
0.304,135.521,413.973,636.29,127.726,28.3649,606.781,145.523,-244.905,634.518,332.502,-227.955,794.551,276.527,-216.269,804.558
0.308,135.521,413.973,636.29,127.726,28.3649,606.781,145.516,-244.883,634.532,332.496,-227.965,794.57,276.469,-216.306,804.535
0.312,135.521,413.973,636.29,127.726,28.3649,606.781,145.523,-244.905,634.518,332.473,-227.985,794.565,276.357,-216.38,804.443
0.316,135.521,413.973,636.29,127.726,28.3649,606.781,145.523,-244.905,634.518,332.574,-228.079,794.594,276.349,-216.422,804.479
0.32,135.521,413.973,636.29,127.726,28.3649,606.781,145.548,-244.899,634.551,332.565,-228.119,794.614,276.185,-216.43,804.444
0.324,135.521,413.973,636.29,127.726,28.3649,606.781,145.491,-244.888,634.5,332.565,-228.119,794.614,276.057,-216.578,804.386
0.328,135.508,413.96,636.278,127.726,28.3649,606.781,145.523,-244.905,634.518,332.453,-228.11,794.591,276.15,-216.534,804.441
0.332,135.51,413.942,636.275,127.726,28.3649,606.781,145.491,-244.888,634.5,332.369,-228.135,794.575,276.133,-216.535,804.43
0.336,135.521,413.973,636.29,127.726,28.3649,606.781,145.523,-244.905,634.518,332.369,-228.135,794.575,276.133,-216.535,804.43
0.34,135.51,413.942,636.275,127.726,28.3649,606.781,145.491,-244.888,634.5,332.379,-228.163,794.629,276.081,-216.591,804.385
0.344,135.51,413.942,636.275,127.726,28.3649,606.781,145.451,-244.952,634.521,332.389,-228.166,794.596,276.097,-216.624,804.43
0.348,135.504,413.921,636.269,127.726,28.3649,606.781,145.404,-244.974,634.547,332.374,-228.188,794.602,276.017,-216.683,804.389
0.352,135.514,413.915,636.256,127.726,28.3649,606.781,145.352,-244.987,634.574,332.354,-228.219,794.659,276.11,-216.638,804.443
0.356,135.504,413.921,636.269,127.726,28.3649,606.781,145.352,-244.987,634.574,332.389,-228.299,794.707,276.18,-216.654,804.465
0.36,135.508,413.894,636.25,127.619,28.2707,606.819,145.263,-245.023,634.622,332.352,-228.334,794.627,276.081,-216.713,804.387
0.364,135.563,413.814,636.268,127.619,28.2707,606.819,145.263,-245.023,634.622,332.37,-228.338,794.654,276.173,-216.723,804.423
0.368,135.572,413.79,636.236,127.619,28.2707,606.819,145.187,-245.042,634.661,332.424,-228.382,794.662,276.3,-216.729,804.478
0.372,135.585,413.799,636.248,127.55,28.2413,606.805,145.187,-245.042,634.661,332.424,-228.382,794.662,276.37,-216.748,804.526
0.376,135.612,413.788,636.19,127.55,28.2413,606.805,145.155,-245.025,634.642,332.424,-228.382,794.662,276.277,-216.792,804.471
0.38,135.638,413.755,636.142,127.55,28.2413,606.805,145.187,-245.042,634.661,332.424,-228.382,794.662,276.281,-216.809,804.475
0.384,135.638,413.755,636.142,127.55,28.2413,606.805,145.187,-245.042,634.661,332.399,-228.399,794.651,276.277,-216.826,804.482
0.388,135.669,413.763,636.112,127.55,28.2413,606.805,145.114,-245.084,634.656,332.383,-228.421,794.656,276.283,-216.842,804.485
0.392,135.706,413.727,636.116,127.491,28.1698,606.85,145.081,-245.068,634.638,332.354,-228.427,794.598,276.171,-216.89,804.49
0.396,135.706,413.727,636.116,127.55,28.2413,606.805,145.114,-245.084,634.656,332.383,-228.421,794.656,276.171,-216.89,804.49
0.4,135.703,413.715,636.054,127.55,28.2413,606.805,145.081,-245.068,634.638,332.246,-228.428,794.612,276.048,-216.935,804.515
0.404,135.757,413.722,635.978,127.55,28.2413,606.805,145.114,-245.084,634.656,332.148,-228.475,794.554,276.048,-216.935,804.515
0.408,135.766,413.719,635.939,127.55,28.2413,606.805,145.114,-245.084,634.656,332.148,-228.475,794.554,276.1,-216.982,804.536
0.412,135.846,413.743,635.887,127.55,28.2413,606.805,145.114,-245.084,634.656,332.195,-228.521,794.571,275.999,-217.015,804.563
0.416,135.855,413.739,635.807,127.432,28.1439,606.839,145.114,-245.084,634.656,332.195,-228.521,794.571,275.974,-217.092,804.584
0.42,135.919,413.749,635.726,127.517,28.1977,606.736,145.134,-245.109,634.652,332.227,-228.559,794.591,275.974,-217.092,804.584
0.424,135.975,413.709,635.587,127.517,28.1977,606.736,145.114,-245.084,634.656,332.227,-228.559,794.591,275.974,-217.092,804.584
0.428,135.969,413.72,635.547,127.517,28.1977,606.736,145.114,-245.084,634.656,332.227,-228.559,794.591,276.04,-217.119,804.593
0.432,135.958,413.757,635.466,127.517,28.1977,606.736,145.063,-245.106,634.684,332.268,-228.603,794.61,276.095,-217.169,804.626
0.436,136.028,413.746,635.414,127.517,28.1977,606.736,145.083,-245.13,634.68,332.241,-228.62,794.597,276.095,-217.169,804.626
0.44,136.028,413.737,635.364,127.517,28.1977,606.736,145.086,-245.151,634.681,332.353,-228.726,794.631,276.095,-217.169,804.626
0.444,136.096,413.731,635.244,127.517,28.1977,606.736,145.086,-245.151,634.681,332.353,-228.726,794.631,276.095,-217.169,804.626
0.448,136.074,413.707,635.105,127.539,28.1766,606.641,145.018,-245.199,634.687,332.353,-228.726,794.631,276.117,-217.205,804.605
0.452,136.128,413.685,635.046,127.539,28.1766,606.641,145.018,-245.199,634.687,332.353,-228.726,794.631,276.087,-217.267,804.601
0.456,135.995,413.725,634.91,127.539,28.1766,606.641,145.035,-245.23,634.675,332.353,-228.726,794.631,276.087,-217.267,804.601
0.46,136.033,413.71,634.894,127.539,28.1766,606.641,145.035,-245.23,634.675,332.386,-228.765,794.651,276.087,-217.267,804.601
0.464,135.975,413.742,634.848,127.539,28.1766,606.641,145.046,-245.256,634.693,332.411,-228.94,794.707,276.087,-217.267,804.601
0.468,136.026,413.675,634.794,127.583,28.2722,606.578,144.964,-245.267,634.677,332.408,-228.924,794.685,276.103,-217.282,804.603
0.472,135.977,413.701,634.765,127.49,28.0973,606.616,144.964,-245.267,634.677,332.383,-228.954,794.69,276.049,-217.328,804.578
0.476,136.088,413.685,634.664,127.49,28.0973,606.616,144.964,-245.267,634.677,332.355,-228.959,794.66,276.049,-217.328,804.578
0.48,136.033,413.649,634.568,127.49,28.0973,606.616,145.001,-245.272,634.659,332.351,-229.087,794.72,276.059,-217.349,804.582
0.484,136.076,413.678,634.513,127.411,28.0982,606.573,144.96,-245.312,634.622,332.351,-229.087,794.72,276.059,-217.349,804.582
0.488,136.151,413.7,634.371,127.51,28.1843,606.422,144.922,-245.307,634.64,332.351,-229.087,794.72,276.071,-217.363,804.542
0.492,136.089,413.792,634.181,127.619,28.1827,606.342,144.928,-245.359,634.611,332.351,-229.087,794.72,276.071,-217.363,804.542
0.496,136.156,413.745,634.12,127.772,28.2475,606.229,144.895,-245.392,634.583,332.351,-229.087,794.72,276.071,-217.363,804.542
0.5,136.134,413.764,633.978,127.772,28.2773,606.192,144.824,-245.422,634.522,332.235,-229.155,794.69,276.077,-217.411,804.56
0.504,136.156,413.72,633.881,127.793,28.2491,606.14,144.824,-245.422,634.522,332.203,-229.193,794.705,276.036,-217.419,804.57
0.508,136.2,413.699,633.746,127.596,28.2056,606.076,144.824,-245.422,634.522,332.141,-229.197,794.64,275.949,-217.46,804.567
0.512,136.199,413.708,633.683,127.781,28.2254,605.964,144.824,-245.422,634.522,332.15,-229.262,794.67,275.981,-217.471,804.564
0.516,136.302,413.691,633.623,127.781,28.2254,605.964,144.813,-245.396,634.504,332.137,-229.252,794.643,276.002,-217.51,804.569
0.52,136.408,413.694,633.485,127.781,28.2254,605.964,144.799,-245.418,634.471,332.175,-229.263,794.608,275.963,-217.538,804.526
