Frame number,19575
First frame,1
Point frequency,250
Analog frequency,250

Time,FINGER,,,ELBOW,,,SHOULDER,,,RIGHTHEAD,,,LEFTHEAD,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,70.9274,380.92,630.809,170.447,-9.15828,573.686,104.897,-257.351,573.292,70.9882,-181.774,734.265,-42.025,-163.626,746.371
0.004,70.9274,380.92,630.809,170.447,-9.15828,573.686,104.897,-257.351,573.292,70.9882,-181.774,734.265,-42.025,-163.626,746.371
0.008,70.9274,380.92,630.809,170.635,-9.0629,573.709,104.897,-257.351,573.292,70.9882,-181.774,734.265,-42.025,-163.626,746.371
0.012,70.9274,380.92,630.809,170.635,-9.0629,573.709,104.897,-257.351,573.292,70.9882,-181.774,734.265,-42.025,-163.626,746.371
0.016,70.9274,380.92,630.809,170.495,-9.23194,573.654,104.699,-257.392,573.291,70.9882,-181.774,734.265,-42.025,-163.626,746.371
0.02,70.6961,381.042,630.789,169.477,-9.10019,573.815,104.699,-257.392,573.291,70.9882,-181.774,734.265,-42.025,-163.626,746.371
0.024,70.9504,380.857,630.836,169.514,-9.17078,573.796,104.699,-257.392,573.291,70.9882,-181.774,734.265,-42.025,-163.626,746.371
0.028,70.9504,380.857,630.836,169.414,-9.25888,573.781,104.699,-257.392,573.291,70.9882,-181.774,734.265,-42.025,-163.626,746.371
0.032,70.5609,380.951,630.926,169.414,-9.25888,573.781,104.699,-257.392,573.291,70.9882,-181.774,734.265,-42.025,-163.626,746.371
0.036,70.5609,380.951,630.926,169.347,-9.26482,573.838,104.699,-257.392,573.291,70.9882,-181.774,734.265,-42.025,-163.626,746.371
0.04,70.525,380.861,630.944,169.347,-9.26482,573.838,104.699,-257.392,573.291,70.4115,-181.62,733.852,-42.025,-163.626,746.371
0.044,70.525,380.861,630.944,169.447,-9.17674,573.853,104.508,-257.44,573.244,70.4115,-181.62,733.852,-42.025,-163.626,746.371
0.048,70.525,380.861,630.944,169.447,-9.17674,573.853,104.508,-257.44,573.244,70.4115,-181.62,733.852,-42.025,-163.626,746.371
0.052,70.7794,380.676,630.991,169.347,-9.26482,573.838,104.508,-257.44,573.244,70.3413,-181.744,733.745,-42.025,-163.626,746.371
0.056,70.5803,380.745,631.009,169.347,-9.26482,573.838,104.508,-257.44,573.244,70.3413,-181.744,733.745,-42.025,-163.626,746.371
0.06,70.5303,380.751,631.069,169.447,-9.17674,573.853,104.508,-257.44,573.244,70.3413,-181.744,733.745,-42.025,-163.626,746.371
0.064,70.7616,380.629,631.09,169.347,-9.26482,573.838,104.407,-257.6,573.273,70.4115,-181.62,733.852,-42.025,-163.626,746.371
0.068,70.7535,380.603,631.247,169.347,-9.26482,573.838,104.407,-257.6,573.273,70.3413,-181.744,733.745,-42.025,-163.626,746.371
0.072,70.5222,380.724,631.226,169.447,-9.17674,573.853,104.407,-257.6,573.273,70.3413,-181.744,733.745,-42.025,-163.626,746.371
0.076,70.7535,380.603,631.247,169.447,-9.17674,573.853,104.407,-257.6,573.273,70.3413,-181.744,733.745,-42.025,-163.626,746.371
0.08,70.7535,380.603,631.247,169.347,-9.26482,573.838,104.407,-257.6,573.273,70.3413,-181.744,733.745,-42.025,-163.626,746.371
0.084,70.7879,380.588,631.289,169.447,-9.17674,573.853,104.407,-257.6,573.273,70.4115,-181.62,733.852,-42.4248,-163.769,746.57
0.088,70.7879,380.588,631.289,169.347,-9.26482,573.838,104.233,-257.632,573.296,70.3413,-181.744,733.745,-42.4248,-163.769,746.57
0.092,70.7879,380.588,631.289,169.347,-9.26482,573.838,104.233,-257.632,573.296,70.3413,-181.744,733.745,-42.4248,-163.769,746.57
0.096,70.8601,380.538,631.375,169.422,-9.24901,573.886,104.233,-257.632,573.296,70.3413,-181.744,733.745,-42.4248,-163.769,746.57
0.1,70.5066,380.638,631.308,169.111,-9.35722,573.844,104.233,-257.632,573.296,70.3413,-181.744,733.745,-42.4248,-163.769,746.57
0.104,70.8101,380.466,631.414,169.111,-9.35722,573.844,104.233,-257.632,573.296,70.3413,-181.744,733.745,-42.4248,-163.769,746.57
0.108,70.5897,380.633,631.468,169.111,-9.35722,573.844,104.233,-257.632,573.296,70.3413,-181.744,733.745,-42.4248,-163.769,746.57
0.112,70.7447,380.569,631.401,169.322,-9.33711,573.871,104.233,-257.632,573.296,70.5023,-181.942,733.796,-42.4248,-163.769,746.57
0.116,70.5066,380.638,631.308,169.211,-9.26913,573.859,104.233,-257.632,573.296,70.3413,-181.744,733.745,-42.4248,-163.769,746.57
0.12,70.5066,380.638,631.308,169.111,-9.35722,573.844,104.03,-257.679,573.271,70.5023,-181.942,733.796,-42.4248,-163.769,746.57
0.124,70.5066,380.638,631.308,169.111,-9.35722,573.844,104.03,-257.679,573.271,70.3413,-181.744,733.745,-42.4248,-163.769,746.57
0.128,70.7447,380.569,631.401,169.111,-9.35722,573.844,104.03,-257.679,573.271,70.5023,-181.942,733.796,-42.4248,-163.769,746.57
0.132,70.5066,380.638,631.308,169.111,-9.35722,573.844,104.03,-257.679,573.271,70.5023,-181.942,733.796,-42.4248,-163.769,746.57
0.136,70.5066,380.638,631.308,169.111,-9.35722,573.844,103.994,-257.781,573.205,70.3413,-181.744,733.745,-42.4248,-163.769,746.57
0.14,70.5066,380.638,631.308,169.111,-9.35722,573.844,103.994,-257.781,573.205,70.3413,-181.744,733.745,-42.4248,-163.769,746.57
0.144,70.5222,380.724,631.226,169.211,-9.26913,573.859,103.994,-257.781,573.205,70.3061,-181.702,734.255,-42.4248,-163.769,746.57
0.148,70.5222,380.724,631.226,169.211,-9.26913,573.859,103.994,-257.781,573.205,70.3061,-181.702,734.255,-42.4248,-163.769,746.57
0.152,70.7535,380.603,631.247,169.153,-9.31833,573.915,104.03,-257.679,573.271,70.1282,-181.668,733.909,-42.4248,-163.769,746.57
0.156,70.7879,380.588,631.289,169.053,-9.40641,573.9,104.03,-257.679,573.271,70.3054,-181.691,734.407,-42.4248,-163.769,746.57
0.16,70.7879,380.588,631.289,169.053,-9.40641,573.9,103.994,-257.781,573.205,70.2216,-181.821,734.51,-42.4248,-163.769,746.57
0.164,70.7879,380.588,631.289,169.053,-9.40641,573.9,104.03,-257.679,573.271,70.2216,-181.821,734.51,-42.4248,-163.769,746.57
0.168,70.7879,380.588,631.289,169.153,-9.31833,573.915,104.03,-257.679,573.271,70.2216,-181.821,734.51,-42.4248,-163.769,746.57
0.172,70.7879,380.588,631.289,169.053,-9.40641,573.9,104.03,-257.679,573.271,70.2216,-181.821,734.51,-42.4248,-163.769,746.57
0.176,70.7879,380.588,631.289,169.079,-9.30737,573.975,104.03,-257.679,573.271,70.2216,-181.821,734.51,-42.4248,-163.769,746.57
0.18,70.8459,380.612,631.228,168.979,-9.39546,573.96,104.03,-257.679,573.271,70.2216,-181.821,734.51,-42.4248,-163.769,746.57
0.184,70.8459,380.612,631.228,168.979,-9.39546,573.96,103.985,-257.701,573.345,70.2216,-181.821,734.51,-42.4248,-163.769,746.57
0.188,70.8459,380.612,631.228,168.979,-9.39546,573.96,103.985,-257.701,573.345,70.2216,-181.821,734.51,-42.4248,-163.769,746.57
0.192,70.9318,380.695,631.15,169.079,-9.30737,573.975,103.985,-257.701,573.345,70.2216,-181.821,734.51,-42.4248,-163.769,746.57
0.196,70.9318,380.695,631.15,169.079,-9.30737,573.975,103.985,-257.701,573.345,70.2216,-181.821,734.51,-42.4248,-163.769,746.57
0.2,70.9318,380.695,631.15,168.979,-9.39546,573.96,103.721,-257.492,573.25,70.2216,-181.821,734.51,-42.4248,-163.769,746.57
0.204,70.9318,380.695,631.15,168.979,-9.39546,573.96,103.721,-257.492,573.25,70.2216,-181.821,734.51,-42.4248,-163.769,746.57
0.208,70.9421,380.742,631.165,168.856,-9.30926,574.049,103.721,-257.492,573.25,70.2216,-181.821,734.51,-42.4248,-163.769,746.57
0.212,70.8974,380.71,631.108,168.856,-9.30926,574.049,103.721,-257.492,573.25,70.2216,-181.821,734.51,-42.4328,-163.802,746.69
0.216,71.0329,380.801,630.971,168.956,-9.22118,574.064,103.689,-257.409,573.352,70.2216,-181.821,734.51,-42.4248,-163.769,746.57
0.22,71.0421,380.852,630.984,168.856,-9.30926,574.049,103.689,-257.409,573.352,70.2216,-181.821,734.51,-42.4248,-163.769,746.57
0.224,71.0421,380.852,630.984,168.723,-9.31864,574.166,103.689,-257.409,573.352,70.2216,-181.821,734.51,-42.4328,-163.802,746.69
0.228,71.0421,380.852,630.984,168.856,-9.30926,574.049,103.689,-257.409,573.352,70.3044,-181.676,734.614,-42.4328,-163.802,746.69
0.232,71.0421,380.852,630.984,168.723,-9.31864,574.166,103.708,-257.327,573.433,70.3044,-181.676,734.614,-42.4328,-163.802,746.69
0.236,71.0421,380.852,630.984,168.809,-9.23663,574.188,103.689,-257.409,573.352,70.3044,-181.676,734.614,-42.4328,-163.802,746.69
0.24,71.0084,380.905,630.944,168.856,-9.30926,574.049,103.708,-257.327,573.433,70.2216,-181.821,734.51,-42.4328,-163.802,746.69
0.244,70.9844,380.969,630.916,168.776,-9.26356,574.114,103.689,-257.409,573.352,70.3044,-181.676,734.614,-42.4328,-163.802,746.69
0.248,71.3085,381.101,630.751,168.908,-9.25418,573.997,103.663,-257.231,573.444,70.3044,-181.676,734.614,-42.4328,-163.802,746.69
0.252,71.3085,381.101,630.751,169.008,-9.16609,574.012,103.663,-257.231,573.444,70.3044,-181.676,734.614,-42.4328,-163.802,746.69
0.256,71.3085,381.101,630.751,169.008,-9.16609,574.012,103.599,-257.298,573.417,70.3044,-181.676,734.614,-42.4328,-163.802,746.69
0.26,71.3085,381.101,630.751,168.896,-9.1105,574.095,103.663,-257.231,573.444,70.3044,-181.676,734.614,-42.4248,-163.769,746.57
0.264,71.2933,381.162,630.785,168.925,-9.10809,573.96,103.701,-257.197,573.585,70.3044,-181.676,734.614,-42.4248,-163.769,746.57
0.268,71.2933,381.162,630.785,168.793,-9.11747,574.077,103.663,-257.231,573.444,70.3044,-181.676,734.614,-42.4328,-163.802,746.69
0.272,71.2933,381.162,630.785,168.845,-9.0813,574.072,103.656,-257.181,573.639,70.3366,-181.766,734.722,-42.4248,-163.769,746.57
0.276,71.2933,381.162,630.785,168.755,-9.0045,574.04,103.701,-257.197,573.585,70.3366,-181.766,734.722,-42.4248,-163.769,746.57
0.28,71.3001,381.214,630.858,168.84,-8.92248,574.061,103.656,-257.181,573.639,70.3366,-181.766,734.722,-42.025,-163.626,746.371
0.284,71.3556,381.352,630.831,168.84,-8.92248,574.061,103.656,-257.181,573.639,70.4183,-181.62,734.827,-42.025,-163.626,746.371
0.288,71.3556,381.352,630.831,168.763,-8.9,574.165,103.656,-257.181,573.639,70.3785,-181.624,734.917,-42.025,-163.626,746.371
0.292,71.3556,381.352,630.831,168.987,-8.90699,573.938,103.656,-257.181,573.639,70.3785,-181.624,734.917,-42.025,-163.626,746.371
0.296,71.3556,381.352,630.831,168.755,-9.0045,574.04,103.638,-257.06,573.599,70.3785,-181.624,734.917,-42.5827,-163.515,746.467
0.3,71.3025,381.359,630.734,169.107,-8.79667,573.878,103.638,-257.06,573.599,70.3785,-181.624,734.917,-42.5827,-163.515,746.467
0.304,71.3556,381.352,630.831,169.107,-8.79667,573.878,103.559,-257.053,573.706,70.2507,-181.493,734.928,-42.5827,-163.515,746.467
0.308,71.3025,381.359,630.734,169.007,-8.8848,573.863,103.592,-257.013,573.638,70.2507,-181.493,734.928,-42.5827,-163.515,746.467
0.312,71.3226,381.408,630.792,169.007,-8.8848,573.863,103.375,-256.886,573.683,70.2507,-181.493,734.928,-42.5827,-163.515,746.467
0.316,71.2695,381.415,630.694,169.015,-8.77367,573.996,103.409,-256.846,573.615,70.2507,-181.493,734.928,-42.5827,-163.515,746.467
0.32,71.2695,381.415,630.694,169.107,-8.79667,573.878,103.409,-256.846,573.615,70.2507,-181.493,734.928,-42.5827,-163.515,746.467
0.324,71.3219,381.512,630.586,169.107,-8.79667,573.878,103.409,-256.846,573.615,70.2507,-181.493,734.928,-42.1337,-163.363,746.282
0.328,71.1699,381.522,630.618,169.015,-8.77367,573.996,103.375,-256.886,573.683,70.1652,-181.429,734.982,-42.1337,-163.363,746.282
0.332,71.1699,381.522,630.618,169.107,-8.79667,573.878,103.329,-256.852,573.729,70.1652,-181.429,734.982,-42.1337,-163.363,746.282
0.336,71.2661,381.525,630.489,169.107,-8.79667,573.878,103.365,-256.812,573.658,70.1652,-181.429,734.982,-42.1337,-163.363,746.282
0.34,71.2661,381.525,630.489,169.015,-8.77367,573.996,103.461,-256.656,573.634,69.9965,-181.228,734.94,-43.6423,-162.911,746.634
0.344,71.1545,381.59,630.601,169.107,-8.79667,573.878,103.461,-256.656,573.634,69.9965,-181.228,734.94,-43.6423,-162.911,746.634
0.348,71.1545,381.59,630.601,169.107,-8.79667,573.878,103.425,-256.696,573.705,69.9965,-181.228,734.94,-43.6423,-162.911,746.634
0.352,71.2715,381.629,630.5,169.015,-8.77367,573.996,103.425,-256.696,573.705,69.9965,-181.228,734.94,-43.6423,-162.911,746.634
0.356,71.2507,381.594,630.472,169.015,-8.77367,573.996,103.461,-256.656,573.634,69.9308,-181.204,735.147,-43.2059,-162.76,746.441
0.36,71.2715,381.629,630.5,169.015,-8.77367,573.996,103.461,-256.656,573.634,69.9727,-181.147,734.996,-43.2059,-162.76,746.441
0.364,71.2715,381.629,630.5,169.113,-8.57955,573.892,103.459,-256.545,573.576,69.9915,-181.224,735.107,-42.7643,-162.617,746.28
0.368,71.1669,381.815,630.429,168.968,-8.64501,573.95,103.395,-256.539,573.68,69.9727,-181.147,734.996,-42.7643,-162.617,746.28
0.372,71.1714,381.744,630.432,168.878,-8.47393,573.881,103.43,-256.435,573.558,69.8156,-180.964,734.966,-42.7643,-162.617,746.28
0.376,71.1669,381.815,630.429,168.878,-8.47393,573.881,103.43,-256.435,573.558,69.8156,-180.964,734.966,-42.7643,-162.617,746.28
0.38,71.1669,381.815,630.429,168.822,-8.5557,573.831,103.365,-256.429,573.662,69.6538,-180.74,734.865,-43.4934,-162.48,746.548
0.384,71.1669,381.815,630.429,168.878,-8.47393,573.881,103.365,-256.429,573.662,69.6538,-180.74,734.865,-44.2233,-162.35,746.933
0.388,71.1456,381.776,630.401,168.967,-8.49021,573.773,103.43,-256.435,573.558,69.6538,-180.74,734.865,-43.7591,-162.183,746.7
0.392,71.1456,381.776,630.401,168.878,-8.47393,573.881,103.43,-256.435,573.558,69.6538,-180.74,734.865,-44.1484,-162.298,746.795
0.396,71.2115,381.842,630.342,168.878,-8.47393,573.881,103.365,-256.429,573.662,69.6538,-180.74,734.865,-43.7591,-162.183,746.7
0.4,70.9803,381.963,630.321,168.822,-8.40093,573.654,103.403,-256.328,573.538,69.6538,-180.74,734.865,-43.7591,-162.183,746.7
0.404,70.9222,382.079,630.339,168.822,-8.40093,573.654,103.272,-256.186,573.567,69.6538,-180.74,734.865,-43.7591,-162.183,746.7
0.408,70.8853,382.089,630.293,168.733,-8.38463,573.762,103.33,-256.067,573.596,69.6538,-180.74,734.865,-43.4555,-162.063,746.505
0.412,70.8853,382.089,630.293,168.822,-8.40093,573.654,103.272,-256.186,573.567,69.5181,-180.536,734.75,-42.9365,-161.848,746.142
0.416,70.8853,382.089,630.293,168.727,-8.31028,573.622,103.272,-256.186,573.567,70.0991,-180.695,735.107,-43.741,-161.701,746.482
0.42,70.8853,382.089,630.293,168.816,-8.32658,573.514,103.208,-256.18,573.671,69.3574,-180.329,734.68,-43.741,-161.701,746.482
0.424,70.8477,382.118,630.247,168.812,-8.20303,573.509,103.33,-256.067,573.596,69.3574,-180.329,734.68,-43.741,-161.701,746.482
0.428,70.8477,382.118,630.247,168.643,-8.02784,573.445,103.33,-256.067,573.596,69.939,-180.489,735.038,-43.741,-161.701,746.482
0.432,70.8477,382.118,630.247,168.643,-8.02784,573.445,103.33,-256.067,573.596,69.939,-180.489,735.038,-43.741,-161.701,746.482
0.436,70.8477,382.118,630.247,168.643,-8.02784,573.445,103.33,-256.067,573.596,69.939,-180.489,735.038,-43.741,-161.701,746.482
0.44,70.8477,382.118,630.247,168.643,-8.02784,573.445,103.33,-256.067,573.596,70.0092,-180.381,734.921,-43.741,-161.701,746.482
0.444,70.8477,382.118,630.247,168.718,-8.02817,573.383,103.33,-256.067,573.596,69.9139,-180.294,734.95,-43.741,-161.701,746.482
0.448,70.7686,382.234,630.223,168.718,-8.02817,573.383,103.33,-256.067,573.596,69.6318,-179.9,734.769,-44.396,-161.587,746.876
0.452,70.7686,382.234,630.223,168.718,-8.02817,573.383,103.33,-256.067,573.596,69.7237,-179.98,734.733,-44.396,-161.587,746.876
0.456,70.7686,382.234,630.223,168.718,-8.02817,573.383,103.056,-255.779,573.367,69.5229,-179.797,734.795,-44.396,-161.587,746.876
0.46,70.9029,382.337,630.165,168.718,-8.02817,573.383,103.056,-255.779,573.367,69.5229,-179.797,734.795,-44.4364,-161.568,746.678
0.464,70.9029,382.337,630.165,168.718,-8.02817,573.383,103.325,-255.953,573.541,69.5229,-179.797,734.795,-44.4364,-161.568,746.678
0.468,70.9085,382.488,630.112,168.718,-8.02817,573.383,103.056,-255.779,573.367,69.5144,-179.737,734.694,-44.4364,-161.568,746.678
0.472,70.8977,382.554,630.101,168.718,-8.02817,573.383,103.056,-255.779,573.367,69.5144,-179.737,734.694,-44.4364,-161.568,746.678
0.476,70.9477,382.548,630.041,168.718,-8.02817,573.383,103.056,-255.779,573.367,69.5144,-179.737,734.694,-44.4364,-161.568,746.678
0.48,70.9202,382.534,630.006,168.718,-8.02817,573.383,103.056,-255.779,573.367,69.3473,-179.504,734.587,-44.4364,-161.568,746.678
0.484,70.8863,382.578,629.965,168.718,-8.02817,573.383,103.038,-255.658,573.327,69.3473,-179.504,734.587,-44.4364,-161.568,746.678
0.488,70.8863,382.578,629.965,168.619,-7.96728,573.289,103.038,-255.658,573.327,69.3473,-179.504,734.587,-44.4364,-161.568,746.678
