Frame number,19384
First frame,1
Point frequency,250
Analog frequency,250

Time,FINGER,,,ELBOW,,,SHOULDER,,,RIGHTHEAD,,,LEFTHEAD,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,49.8303,375.666,717.439,124.806,-64.0667,672.454,136.216,-377.826,683.445,32.5401,-318.187,861.254,-62.2155,-318.162,859.325
0.004,49.76,375.665,717.473,124.898,-64.1128,672.428,136.216,-377.826,683.446,32.5401,-318.187,861.254,-62.1397,-318.196,859.291
0.008,49.6098,375.47,717.389,124.685,-64.0291,672.311,136.216,-377.826,683.446,32.5401,-318.187,861.254,-62.1397,-318.196,859.291
0.012,49.6591,375.604,717.493,124.784,-64.0226,672.311,136.191,-377.777,683.472,32.5401,-318.187,861.254,-62.2155,-318.162,859.325
0.016,49.0959,375.895,717.714,124.784,-64.0226,672.311,136.216,-377.826,683.445,32.4383,-318.104,861.285,-62.2155,-318.162,859.325
0.02,49.5041,375.578,717.537,124.784,-64.0223,672.311,136.191,-377.777,683.472,32.4965,-318.139,861.293,-62.2156,-318.162,859.325
0.024,49.474,375.604,717.511,124.48,-63.8486,672.244,136.216,-377.826,683.446,32.4383,-318.104,861.285,-62.2156,-318.162,859.325
0.028,49.434,375.625,717.555,124.574,-63.8896,672.221,136.216,-377.826,683.446,32.3666,-318.095,861.29,-62.1397,-318.196,859.291
0.032,49.434,375.625,717.555,124.457,-63.8584,672.219,136.191,-377.777,683.472,32.5401,-318.187,861.254,-62.3111,-318.132,859.35
0.036,49.4005,375.661,717.546,124.457,-63.8584,672.219,136.191,-377.777,683.472,32.4686,-318.179,861.259,-62.1697,-318.085,859.343
0.04,49.3375,375.648,717.547,124.345,-63.8088,672.247,136.191,-377.777,683.472,32.4965,-318.139,861.293,-62.0473,-318.061,859.3
0.044,49.2961,375.63,717.574,124.551,-63.8995,672.196,136.38,-377.855,683.541,32.5401,-318.187,861.254,-62.1207,-318.041,859.286
0.048,49.27,375.628,717.621,124.457,-63.8584,672.219,136.38,-377.855,683.541,32.5401,-318.187,861.254,-62.031,-318.03,859.261
0.052,49.27,375.628,717.621,124.444,-63.9165,672.192,136.38,-377.855,683.541,32.4383,-318.104,861.285,-62.2164,-318.011,859.311
0.056,49.211,375.637,717.637,124.48,-63.8486,672.244,136.38,-377.855,683.541,32.4383,-318.104,861.285,-62.2164,-318.011,859.311
0.06,49.211,375.637,717.637,124.345,-63.8088,672.247,136.38,-377.855,683.541,32.4383,-318.104,861.285,-62.1689,-317.975,859.25
0.064,49.1795,375.606,717.657,124.551,-63.8995,672.196,136.38,-377.855,683.541,32.6044,-318.157,861.247,-62.1689,-317.975,859.25
0.068,49.1795,375.606,717.657,124.387,-63.8027,672.27,136.38,-377.855,683.541,32.5401,-318.187,861.254,-62.0346,-317.924,859.233
0.072,49.1795,375.606,717.657,124.48,-63.8486,672.244,136.38,-377.855,683.541,32.6044,-318.157,861.247,-62.0346,-317.924,859.233
0.076,49.211,375.637,717.637,124.542,-63.9435,672.175,136.362,-377.853,683.581,32.4383,-318.104,861.285,-61.9973,-317.88,859.162
0.08,49.1943,375.572,717.643,124.444,-63.9165,672.192,136.407,-377.888,683.573,32.3945,-318.056,861.324,-61.9973,-317.88,859.162
0.084,49.1955,375.637,717.621,124.551,-63.8995,672.196,136.407,-377.888,683.573,32.5429,-318.123,861.226,-61.9113,-317.864,859.099
0.088,49.1955,375.637,717.621,124.457,-63.8584,672.219,136.407,-377.888,683.573,32.6449,-318.206,861.195,-61.9113,-317.864,859.099
0.092,49.1955,375.637,717.621,124.457,-63.8584,672.219,136.39,-377.886,683.613,32.54,-318.102,861.195,-61.9113,-317.864,859.099
0.096,49.1958,375.621,717.599,124.345,-63.8088,672.247,136.39,-377.886,683.613,32.6088,-318.109,861.191,-61.9113,-317.864,859.099
0.1,49.226,375.586,717.6,124.551,-63.8995,672.196,136.407,-377.888,683.573,32.6088,-318.109,861.191,-61.7743,-317.775,859.015
0.104,49.2511,375.602,717.561,124.434,-63.8939,672.203,136.407,-377.888,683.573,32.6088,-318.109,861.191,-61.7786,-317.799,858.975
0.108,49.3152,375.625,717.524,124.444,-63.9165,672.192,136.407,-377.888,683.573,32.54,-318.102,861.195,-61.658,-317.75,858.955
0.112,49.3114,375.615,717.502,124.444,-63.9165,672.192,136.407,-377.888,683.573,32.54,-318.102,861.195,-61.6237,-317.695,858.965
0.116,49.3139,375.618,717.486,124.551,-63.8995,672.196,136.407,-377.888,683.573,32.5956,-318.096,861.154,-61.6237,-317.695,858.965
0.12,49.3275,375.574,717.408,124.457,-63.8584,672.219,136.431,-377.937,683.547,32.5263,-318.036,861.128,-61.5908,-317.643,858.975
0.124,49.3275,375.574,717.408,124.457,-63.8584,672.219,136.407,-377.888,683.573,32.6992,-318.082,861.066,-61.5908,-317.643,858.975
0.128,49.3955,375.612,717.365,124.457,-63.8584,672.219,136.483,-377.994,683.614,32.7766,-318.024,861.08,-61.5971,-317.626,858.947
0.132,49.3865,375.612,717.335,124.457,-63.8584,672.219,136.483,-377.994,683.614,32.8262,-318.015,861.036,-61.5971,-317.626,858.947
0.136,49.4203,375.576,717.343,124.407,-63.9468,672.134,136.294,-377.916,683.544,32.6193,-317.963,860.978,-61.5971,-317.626,858.947
0.14,49.4234,375.545,717.347,124.411,-63.9046,672.154,136.507,-378.043,683.587,32.723,-318.052,860.949,-61.5971,-317.626,858.947
0.144,49.4234,375.545,717.347,124.518,-63.8876,672.158,136.507,-378.043,683.587,32.8216,-318.04,860.978,-61.2889,-317.497,858.844
0.148,49.4499,375.539,717.31,124.317,-63.9116,672.155,136.338,-378.003,683.538,32.936,-318.08,860.949,-61.3224,-317.556,858.849
0.152,49.4453,375.565,717.326,124.424,-63.8465,672.181,136.366,-378.041,683.57,32.9887,-318.084,860.948,-61.3354,-317.591,858.879
0.156,49.448,375.517,717.262,124.424,-63.8465,672.181,136.552,-378.114,683.687,32.9887,-318.084,860.948,-61.2783,-317.575,858.83
0.16,49.448,375.517,717.262,124.411,-63.9046,672.154,136.58,-378.152,683.718,32.9887,-318.084,860.948,-61.2655,-317.394,858.775
0.164,49.5217,375.489,717.17,124.424,-63.8465,672.181,136.392,-378.073,683.649,33.2111,-318.138,861.011,-61.1844,-317.429,858.74
0.168,49.5217,375.489,717.17,124.424,-63.8465,672.181,136.604,-378.201,683.692,33.0755,-318.058,860.974,-61.2655,-317.394,858.775
0.172,49.5729,375.512,717.12,124.518,-63.8876,672.158,136.604,-378.201,683.692,32.936,-318.08,860.949,-61.1578,-317.343,858.748
0.176,49.5729,375.512,717.12,124.312,-63.7969,672.209,136.416,-378.122,683.623,32.9618,-317.933,860.921,-61.1578,-317.343,858.748
0.18,49.5729,375.512,717.12,124.52,-63.9219,672.141,136.416,-378.122,683.623,33.1003,-317.988,860.88,-61.0561,-317.295,858.721
0.184,49.5729,375.512,717.12,124.501,-63.9725,672.118,136.604,-378.201,683.692,33.002,-318.01,860.851,-61.0561,-317.295,858.721
0.188,49.5734,375.512,717.098,124.595,-63.9986,672.102,136.604,-378.201,683.692,32.9618,-317.933,860.921,-61.0561,-317.295,858.721
0.192,49.5734,375.512,717.098,124.607,-63.9584,672.121,136.604,-378.201,683.692,33.1003,-317.988,860.88,-61.0561,-317.295,858.721
0.196,49.6019,375.538,717.086,124.52,-63.9219,672.141,136.604,-378.201,683.692,33.3198,-318.036,860.943,-61.0561,-317.295,858.721
0.2,49.6322,375.547,717.031,124.595,-63.9986,672.102,136.601,-378.249,683.671,33.2509,-318.022,860.901,-60.9748,-317.33,858.685
0.204,49.6646,375.581,717.014,124.414,-63.9383,672.138,136.604,-378.201,683.692,33.2704,-318.033,860.943,-61.0561,-317.295,858.721
0.208,49.6646,375.581,717.014,124.607,-63.9584,672.121,136.672,-378.357,683.665,33.3006,-318.024,860.9,-61.0336,-317.318,858.662
0.212,49.7227,375.591,716.958,124.607,-63.9584,672.121,136.675,-378.308,683.686,33.3198,-318.036,860.943,-60.9562,-317.351,858.63
0.216,49.7416,375.564,716.985,124.599,-63.9568,672.058,136.675,-378.308,683.686,33.3006,-318.024,860.9,-60.9562,-317.351,858.63
0.22,49.7837,375.533,716.934,124.599,-63.9568,672.058,136.672,-378.357,683.665,33.3006,-318.024,860.9,-60.9562,-317.351,858.63
0.224,49.7837,375.533,716.934,124.599,-63.9568,672.058,136.675,-378.308,683.686,33.3006,-318.024,860.9,-60.9562,-317.351,858.63
0.228,49.874,375.535,716.929,124.599,-63.9568,672.058,136.672,-378.357,683.665,33.3006,-318.024,860.9,-60.9562,-317.351,858.63
0.232,49.9215,375.512,716.849,124.599,-63.9568,672.058,136.675,-378.308,683.686,33.3006,-318.024,860.9,-60.9562,-317.351,858.63
0.236,50.0168,375.556,716.858,124.916,-64.1779,672.208,136.672,-378.357,683.665,33.3198,-318.036,860.943,-60.9562,-317.351,858.63
0.24,50.0823,375.562,716.758,124.757,-64.0813,672.07,136.672,-378.357,683.665,33.2704,-318.033,860.943,-60.9562,-317.351,858.63
0.244,50.1164,375.557,716.699,125.021,-64.2023,672.094,136.672,-378.357,683.665,33.3198,-318.036,860.943,-60.9562,-317.351,858.63
0.248,50.1894,375.589,716.646,124.934,-64.1657,672.115,136.672,-378.357,683.665,33.4435,-318.133,860.975,-60.9562,-317.351,858.63
0.252,50.2216,375.618,716.638,125.143,-64.2973,672.208,136.795,-378.386,683.655,33.3938,-318.131,860.976,-60.9562,-317.351,858.63
0.256,50.2917,375.669,716.578,125.143,-64.2973,672.208,136.795,-378.386,683.655,33.4435,-318.133,860.975,-60.9562,-317.351,858.63
0.26,50.337,375.692,716.543,125.229,-64.3336,672.187,136.969,-378.461,683.695,33.4295,-318.163,860.994,-60.967,-317.451,858.689
0.264,50.342,375.679,716.503,125.143,-64.2973,672.208,136.969,-378.461,683.695,33.3799,-318.161,860.994,-61.0235,-317.407,858.683
0.268,50.4568,375.739,716.41,125.143,-64.2973,672.208,137.098,-378.512,683.773,33.3799,-318.161,860.994,-61.2205,-317.549,858.759
0.272,50.5611,375.75,716.295,125.143,-64.2973,672.208,136.916,-378.376,683.641,33.4295,-318.163,860.994,-61.2001,-317.531,858.801
0.276,50.6432,375.768,716.211,125.229,-64.3336,672.187,136.87,-378.305,683.589,33.3799,-318.161,860.994,-61.3354,-317.591,858.879
0.28,50.8829,375.771,716.19,125.229,-64.3336,672.187,136.999,-378.356,683.667,33.4295,-318.163,860.994,-61.2598,-317.626,858.843
0.284,50.9811,375.801,716.174,125.229,-64.3336,672.187,137.003,-378.336,683.675,33.2909,-318.108,861.035,-61.2562,-317.644,858.872
0.288,51.0178,375.759,716.178,125.189,-64.2923,672.139,136.999,-378.356,683.667,33.2909,-318.108,861.035,-61.289,-317.696,858.861
0.292,51.1439,375.859,716.17,125.168,-64.2647,672.138,136.974,-378.278,683.62,33.2909,-318.108,861.035,-61.2562,-317.644,858.872
0.296,51.205,375.832,716.193,125.055,-64.0865,671.98,136.974,-378.278,683.62,33.4948,-318.178,861.092,-61.1707,-317.761,858.87
0.3,51.266,375.771,716.222,125.053,-64.0888,671.917,136.974,-378.278,683.62,33.4421,-318.173,861.093,-61.0729,-317.784,858.946
0.304,51.3577,375.737,716.159,125.139,-64.1251,671.896,136.974,-378.278,683.62,33.3911,-318.088,861.121,-61.2342,-317.833,859.004
0.308,51.5135,375.727,716.093,125.089,-64.0005,671.833,136.974,-378.278,683.62,33.4044,-318.102,861.158,-61.2342,-317.833,859.004
0.312,51.5135,375.727,716.093,125.086,-63.9518,671.828,136.974,-378.278,683.62,33.5147,-318.203,861.262,-61.1187,-317.853,859.069
0.316,51.5645,375.733,716.101,125.03,-63.9371,671.809,137.001,-378.294,683.585,33.5672,-318.207,861.26,-61.2041,-317.852,859.184
0.32,51.6086,375.71,716.093,125.413,-64.0749,671.795,137.112,-378.345,683.581,33.5672,-318.207,861.26,-61.1259,-317.84,859.201
0.324,51.7251,375.661,716.063,125.467,-64.1374,671.77,137.112,-378.345,683.581,33.285,-318.105,861.335,-61.0492,-317.861,859.215
0.328,51.7251,375.661,716.063,125.467,-64.1374,671.77,137.166,-378.382,683.555,33.2821,-318.152,861.364,-61.0699,-317.935,859.266
0.332,51.819,375.625,716.036,125.467,-64.1374,671.77,137.166,-378.382,683.555,33.3453,-318.18,861.391,-61.0699,-317.935,859.266
0.336,51.9214,375.675,716.038,125.404,-64.0183,671.712,137.213,-378.372,683.503,33.2851,-318.173,861.395,-61.0966,-317.989,859.286
0.34,52.0056,375.777,716.016,125.389,-64.0559,671.695,137.213,-378.372,683.503,33.2851,-318.173,861.395,-61.0966,-317.989,859.286
0.344,52.1039,375.743,715.971,125.906,-64.287,671.763,137.213,-378.372,683.503,33.3066,-318.177,861.431,-61.2192,-318.038,859.304
0.348,52.2928,375.814,715.9,126.085,-64.4038,671.778,137.222,-378.38,683.455,33.3667,-318.184,861.426,-61.2192,-318.038,859.304
0.352,52.4181,375.779,715.88,126.085,-64.4038,671.778,137.222,-378.38,683.455,33.3667,-318.184,861.426,-61.2032,-318.069,859.326
0.356,52.4766,375.743,715.856,126.085,-64.4038,671.778,137.222,-378.38,683.455,33.3675,-318.236,861.455,-61.1517,-318.068,859.347
0.36,52.4966,375.701,715.869,126.085,-64.4038,671.778,137.182,-378.369,683.394,33.3975,-318.342,861.509,-61.1517,-318.068,859.347
0.364,52.4966,375.701,715.869,126.085,-64.4038,671.778,137.182,-378.369,683.394,33.5412,-318.362,861.55,-61.2039,-318.088,859.395
0.368,52.5082,375.687,715.836,126.074,-64.3457,671.763,137.182,-378.369,683.394,33.5479,-318.336,861.526,-61.1204,-318.19,859.409
0.372,52.6278,375.694,715.758,126.044,-64.2754,671.725,137.179,-378.39,683.387,33.6574,-318.346,861.569,-61.0625,-318.161,859.389
0.376,52.8178,375.689,715.683,126.044,-64.2754,671.725,137.182,-378.369,683.394,33.5971,-318.337,861.573,-61.0185,-318.195,859.466
0.38,52.8879,375.737,715.644,126.044,-64.2754,671.725,137.182,-378.369,683.394,33.6574,-318.346,861.569,-61.0053,-318.193,859.512
0.384,53.0009,375.721,715.53,125.992,-64.1715,671.666,137.179,-378.39,683.387,33.5969,-318.262,861.568,-60.9788,-318.142,859.5
0.388,53.0668,375.689,715.448,125.992,-64.1715,671.666,137.179,-378.39,683.387,33.5975,-318.214,861.54,-61.0053,-318.193,859.512
0.392,53.1507,375.682,715.478,125.953,-64.1073,671.619,137.286,-378.438,683.385,33.4379,-318.137,861.551,-60.9694,-318.192,859.559
0.396,53.141,375.726,715.389,125.955,-64.0053,671.564,137.286,-378.438,683.385,33.6043,-318.188,861.515,-60.9694,-318.192,859.559
0.4,53.2501,375.676,715.322,126.089,-63.9212,671.598,137.286,-378.438,683.385,33.4312,-318.164,861.575,-60.9694,-318.192,859.559
0.404,53.3381,375.65,715.309,126.07,-63.8645,671.541,137.286,-378.438,683.385,33.5706,-318.159,861.534,-60.9064,-318.206,859.584
0.408,53.3828,375.684,715.253,126.404,-64.0986,671.577,137.292,-378.426,683.341,33.6043,-318.188,861.515,-60.9064,-318.206,859.584
0.412,53.4373,375.722,715.181,126.489,-64.1557,671.549,137.365,-378.445,683.369,33.6309,-318.167,861.529,-60.8035,-318.181,859.593
0.416,53.5232,375.739,715.141,126.459,-64.1457,671.515,137.371,-378.433,683.325,33.6309,-318.167,861.529,-60.6731,-318.131,859.576
0.42,53.6275,375.643,715.103,126.418,-64.104,671.466,137.371,-378.433,683.325,33.6541,-318.168,861.564,-60.6731,-318.131,859.576
0.424,53.9299,375.794,714.932,126.459,-64.1964,671.43,137.371,-378.433,683.325,33.6581,-318.14,861.533,-60.5525,-318.096,859.578
0.428,54.1039,375.748,714.842,126.459,-64.1964,671.43,137.371,-378.433,683.325,33.826,-318.186,861.501,-60.5525,-318.096,859.578
0.432,54.1197,375.654,714.809,126.459,-64.1964,671.43,137.416,-378.476,683.304,33.8268,-318.138,861.473,-60.5525,-318.096,859.578
0.436,54.1582,375.689,714.763,126.475,-64.1732,671.446,137.62,-378.509,683.337,33.7737,-318.131,861.476,-60.5525,-318.096,859.578
0.44,54.3166,375.716,714.687,126.387,-64.1617,671.449,137.738,-378.608,683.373,33.85,-318.138,861.507,-60.5168,-318.041,859.595
0.444,54.405,375.67,714.603,126.399,-64.2583,671.409,137.62,-378.509,683.337,33.85,-318.138,861.507,-60.526,-318.045,859.565
0.448,54.405,375.67,714.603,126.709,-64.3996,671.495,137.793,-378.584,683.374,33.8693,-318.109,861.498,-60.5169,-318.037,859.583
0.452,54.5431,375.68,714.525,126.709,-64.3996,671.495,137.793,-378.584,683.374,33.8734,-318.098,861.49,-60.5168,-318.041,859.595
0.456,54.5972,375.685,714.516,126.899,-64.5257,671.506,137.738,-378.608,683.373,33.8734,-318.098,861.49,-60.4808,-317.982,859.599
0.46,54.6425,375.675,714.509,126.823,-64.6108,671.469,137.738,-378.608,683.373,33.8047,-318.046,861.531,-60.4878,-317.987,859.582
0.464,54.7619,375.605,714.449,126.928,-64.6791,671.432,137.793,-378.584,683.374,33.7499,-317.909,861.501,-60.5168,-318.041,859.595
0.468,54.7619,375.605,714.449,127.016,-64.5963,671.468,137.738,-378.608,683.373,33.8777,-318.005,861.488,-60.3983,-317.91,859.539
0.472,54.8866,375.69,714.372,126.928,-64.6791,671.432,137.889,-378.674,683.398,33.7791,-317.921,861.462,-60.3249,-317.85,859.507
0.476,54.963,375.737,714.329,127.092,-64.6993,671.461,137.944,-378.651,683.399,33.8041,-317.893,861.462,-60.2614,-317.864,859.532
0.48,54.963,375.737,714.329,127.069,-64.709,671.436,137.86,-378.65,683.362,33.851,-317.883,861.42,-60.3602,-317.909,859.502
0.484,55.0151,375.765,714.279,127.069,-64.709,671.436,137.86,-378.65,683.362,34.0619,-317.913,861.433,-60.3517,-317.875,859.459
0.488,54.9995,375.735,714.269,127.069,-64.709,671.436,137.855,-378.671,683.353,34.0346,-317.918,861.399,-60.3153,-317.815,859.466
