Frame number,18518
First frame,1
Point frequency,250
Analog frequency,250

Time,FINGER,,,ELBOW,,,SHOULDER,,,RIGHTHEAD,,,LEFTHEAD,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,53.8,385.23,710.369,125.088,-54.5339,659.96,134.432,-367.132,684.333,25.6894,-296.121,859.062,-68.6211,-300.512,858.664
0.004,53.811,385.185,710.457,125.141,-54.6052,659.925,134.398,-367.046,684.279,26.1025,-295.979,858.828,-69.0203,-300.259,858.59
0.008,53.8714,385.197,710.279,125.254,-54.6535,659.803,134.386,-367.006,684.259,26.2273,-295.782,858.71,-68.7411,-299.921,858.396
0.012,54.0412,385.222,710.077,125.443,-54.7849,659.768,134.352,-366.925,684.2,26.2019,-295.622,858.641,-68.4889,-299.854,858.286
0.016,53.8467,385.258,710.036,125.365,-54.6798,659.673,134.352,-366.925,684.2,26.0646,-295.185,858.528,-68.3177,-299.498,858.018
0.02,53.9729,385.254,709.907,125.242,-54.4415,659.498,134.352,-366.925,684.2,25.7987,-294.866,858.42,-68.7194,-299.223,858.095
0.024,54.0121,385.329,709.804,125.453,-54.3986,659.282,134.488,-366.936,684.133,25.8952,-294.636,858.348,-68.7206,-299.023,857.926
0.028,53.9869,385.369,709.685,125.651,-54.5549,659.203,134.627,-366.977,684.209,25.85,-294.359,858.185,-68.6683,-298.655,857.809
0.032,54.0061,385.394,709.597,125.679,-54.523,659.13,134.504,-366.763,684.138,26.0235,-294.205,858.081,-68.3418,-298.398,857.518
0.036,54.2379,385.482,709.438,125.705,-54.5048,659.055,134.452,-366.635,684.061,25.9074,-293.719,857.81,-68.308,-298.102,857.311
0.04,54.2809,385.562,709.328,125.658,-54.4563,658.973,134.452,-366.635,684.061,26.3103,-293.825,857.625,-68.5125,-297.924,857.13
0.044,54.4034,385.578,709.208,125.63,-54.4595,658.973,134.654,-366.712,684.09,26.5916,-293.698,857.47,-68.5933,-297.802,857.093
0.048,54.5257,385.576,709.148,125.667,-54.4323,658.878,134.654,-366.712,684.09,26.5823,-293.263,857.316,-68.5223,-297.543,856.965
0.052,54.5789,385.61,709.05,125.708,-54.4702,658.828,134.845,-366.782,684.119,26.4659,-293.001,857.11,-68.5323,-297.019,856.698
0.056,54.7196,385.697,709.056,125.708,-54.4702,658.828,134.866,-366.753,684.156,26.2517,-292.719,856.896,-68.3563,-296.946,856.35
0.06,55.0114,385.766,708.912,125.875,-54.5028,658.789,135.033,-366.787,684.138,26.3002,-292.284,856.737,-68.598,-296.647,856.31
0.064,55.2655,385.795,708.866,125.806,-54.4331,658.743,134.954,-366.598,684.043,26.1592,-292.146,856.573,-68.4281,-296.434,856.02
0.068,55.2926,385.819,708.845,126.012,-54.5509,658.725,134.917,-366.515,684.124,26.6984,-292.142,856.442,-68.3388,-296.356,855.946
0.072,55.5603,385.98,708.67,125.875,-54.3061,658.556,134.847,-366.391,684.083,26.636,-291.824,856.276,-68.3012,-296.062,855.828
0.076,55.8001,385.924,708.645,126.194,-54.2389,658.453,134.844,-366.352,684.079,26.9957,-291.737,856.232,-68.3262,-295.576,855.768
0.08,56.0921,385.858,708.573,125.928,-53.9086,658.48,135.057,-366.39,684.115,26.3223,-291.135,856.065,-68.3192,-295.289,855.769
0.084,56.3442,385.841,708.532,125.973,-53.8692,658.363,135.04,-366.258,684.087,26.7095,-291.092,856.008,-68.5823,-295.045,855.686
0.088,56.4103,385.813,708.569,125.87,-53.583,658.158,135.057,-366.214,684.118,26.8159,-290.918,855.903,-68.2641,-294.948,855.53
0.092,56.6892,385.862,708.505,126.381,-54.0117,658.068,135.067,-366.194,684.136,26.7962,-290.657,855.655,-68.1677,-294.708,855.37
0.096,56.9225,385.829,708.575,126.338,-53.8105,658.164,135.067,-366.194,684.136,27.3733,-290.683,855.574,-67.8146,-294.369,855.063
0.1,57.1958,385.908,708.557,126.381,-54.0117,658.068,135.229,-366.207,684.188,26.8484,-290.18,855.441,-67.5859,-294.178,854.952
0.104,57.4282,385.961,708.472,126.362,-53.6754,657.996,135.259,-366.137,684.281,26.9128,-289.831,855.383,-67.981,-293.981,854.863
0.108,57.7308,386.125,708.326,126.585,-53.8462,657.909,135.248,-366.096,684.262,26.7428,-289.64,855.417,-67.9578,-293.67,854.705
0.112,58.0127,386.194,708.329,126.574,-53.5002,657.77,135.217,-365.985,684.33,26.7428,-289.64,855.417,-67.9576,-293.54,854.694
0.116,58.3171,386.275,708.203,126.602,-53.3542,657.688,135.222,-365.956,684.34,26.8128,-289.372,855.326,-67.7715,-293.192,854.643
0.12,58.6007,386.392,708.024,126.633,-53.3517,657.509,135.146,-365.811,684.341,26.785,-289.142,855.115,-67.2914,-292.829,854.631
0.124,58.9029,386.394,707.979,126.711,-53.3338,657.434,135.146,-365.811,684.341,26.8397,-288.9,854.958,-67.3159,-292.611,854.55
0.128,58.9397,386.424,707.929,126.886,-53.4805,657.53,135.146,-365.811,684.341,26.7067,-288.47,854.86,-67.3698,-292.372,854.42
0.132,59.0713,386.458,707.907,127.136,-53.5747,657.546,135.065,-365.712,684.351,26.9776,-288.418,854.796,-67.7018,-292.045,854.365
0.136,59.2366,386.64,707.807,127.136,-53.5747,657.546,135.065,-365.699,684.415,27.0053,-288.092,854.78,-67.5741,-291.937,854.208
0.14,59.3403,386.715,707.747,127.136,-53.5747,657.546,135.085,-365.703,684.449,27.3376,-288.01,854.751,-67.2206,-291.735,854.12
0.144,59.5496,386.755,707.666,127.039,-53.4101,657.517,134.941,-365.409,684.312,27.89,-288.077,854.664,-66.8764,-291.251,854.04
0.148,59.6634,386.79,707.534,127.098,-53.413,657.513,134.904,-365.33,684.385,27.817,-287.947,854.572,-66.7265,-291.062,853.893
0.152,59.9333,386.847,707.377,127.004,-53.2872,657.475,134.903,-365.267,684.385,28.0087,-287.861,854.518,-66.7584,-290.845,853.793
0.156,60.15,386.948,707.133,127.039,-53.1705,657.47,134.878,-365.135,684.343,27.6663,-287.262,854.467,-66.5857,-290.688,853.753
0.16,60.2227,387.005,707.077,126.98,-52.9506,657.289,135.078,-365.119,684.458,27.7317,-287.166,854.427,-66.456,-290.422,853.817
0.164,60.359,387.108,707.019,127.564,-53.2454,657.513,134.908,-364.761,684.391,27.9954,-287.178,854.287,-66.5104,-290.047,853.807
0.168,60.5177,387.233,706.933,127.568,-53.1307,657.447,134.822,-364.641,684.382,28.0296,-287.01,854.127,-66.3851,-289.853,853.655
0.172,60.694,387.361,706.835,127.448,-52.9385,657.401,134.822,-364.641,684.382,27.5924,-286.586,854.103,-66.5154,-289.626,853.637
0.176,60.9358,387.564,706.764,127.394,-52.8679,657.436,134.822,-364.641,684.382,27.8413,-286.475,854.066,-66.1933,-289.399,853.58
0.18,61.0598,387.584,706.703,127.32,-52.7543,657.367,135.036,-364.525,684.438,27.6794,-286.284,854.006,-66.2312,-289.209,853.519
0.184,61.1513,387.627,706.661,127.631,-52.737,657.364,134.982,-364.367,684.459,27.7619,-286.155,853.966,-65.975,-289.04,853.406
0.188,61.3244,387.704,706.649,127.643,-52.7063,657.375,134.876,-364.208,684.496,27.7661,-285.896,853.971,-65.9975,-288.983,853.361
0.192,61.3844,387.835,706.611,127.643,-52.7063,657.375,135.037,-364.172,684.519,28.3305,-286.019,853.825,-65.8247,-288.726,853.36
0.196,61.4521,387.851,706.58,127.611,-52.6292,657.314,135.037,-364.172,684.519,28.5302,-285.962,853.769,-65.6711,-288.38,853.305
0.2,61.4797,387.881,706.597,127.538,-52.404,657.204,134.83,-363.847,684.59,28.4759,-285.572,853.773,-65.5554,-288.024,853.26
0.204,61.5738,388.002,706.52,127.987,-52.5949,657.16,135.168,-363.895,684.663,28.499,-285.464,853.73,-65.5862,-287.906,853.29
0.208,61.6844,388.046,706.441,128.006,-52.4429,657.101,135.155,-363.821,684.739,28.8949,-285.366,853.672,-65.4479,-287.647,853.232
0.212,61.6548,388.105,706.407,128.03,-52.2587,657.081,135.175,-363.754,684.773,28.6125,-285.213,853.595,-65.4901,-287.446,853.177
0.216,61.7039,388.134,706.351,127.802,-52.0261,656.995,135.185,-363.73,684.79,28.1628,-284.646,853.562,-65.559,-287.262,853.078
0.22,61.7374,388.218,706.341,128.114,-52.032,657.022,135.551,-363.749,684.845,28.1913,-284.661,853.448,-65.5261,-287.134,852.977
0.224,61.7709,388.291,706.293,128.147,-51.8089,656.976,135.45,-363.53,684.819,28.1671,-284.343,853.423,-65.2489,-286.989,852.893
0.228,61.7346,388.347,706.302,128.187,-51.6325,657.01,135.45,-363.53,684.819,28.1671,-284.343,853.423,-65.0692,-286.81,852.812
0.232,61.834,388.437,706.248,128.155,-51.5159,656.967,135.45,-363.53,684.819,28.467,-284.294,853.376,-64.9816,-286.618,852.708
0.236,61.7913,388.52,706.305,128.154,-51.4686,656.963,135.549,-363.434,684.815,28.3997,-284.114,853.287,-64.8553,-286.55,852.754
0.24,61.7913,388.52,706.305,128.106,-51.3304,656.87,135.906,-363.042,684.842,28.403,-283.87,853.369,-64.9305,-286.181,852.726
0.244,61.7197,388.604,706.3,128.217,-51.2593,656.854,136.04,-362.798,684.934,28.3235,-283.696,853.332,-64.967,-286.089,852.696
0.248,61.7084,388.594,706.326,128.427,-51.394,656.951,135.605,-363.144,684.761,27.905,-283.216,853.247,-65.155,-285.941,852.755
0.252,61.6853,388.61,706.349,128.361,-51.2683,656.888,135.827,-363.114,684.896,28.119,-282.961,853.194,-65.0188,-285.797,852.603
0.256,61.6651,388.629,706.376,128.321,-51.2018,656.839,135.748,-363.011,684.898,28.0896,-282.791,853.107,-65.1097,-285.703,852.56
0.26,61.6384,388.625,706.408,128.511,-51.2745,656.858,135.767,-363.013,684.932,28.146,-282.743,853.115,-64.8176,-285.413,852.483
0.264,61.6145,388.704,706.433,128.413,-51.0972,656.745,135.78,-362.961,684.955,28.0921,-282.658,853.113,-64.7165,-285.29,852.434
0.268,61.5557,388.741,706.528,128.439,-51.095,656.776,136.601,-362.69,685.207,27.9551,-282.407,853.013,-64.6085,-285.039,852.221
0.272,61.4722,388.738,706.555,128.45,-51.0636,656.785,136.588,-362.579,685.218,27.9077,-282.29,852.99,-64.4869,-284.974,852.191
0.276,61.4083,388.749,706.577,128.45,-51.0636,656.785,136.838,-362.375,685.146,29.331,-282.094,853.109,-64.8336,-284.882,852.265
0.28,61.374,388.819,706.571,128.425,-50.9861,656.708,136.683,-362.085,684.997,27.7887,-281.962,852.852,-64.7118,-284.756,852.165
0.284,61.3441,388.848,706.584,128.427,-50.9992,656.724,136.418,-361.793,684.961,27.8122,-281.685,852.635,-64.407,-284.582,851.977
0.288,61.3441,388.848,706.584,128.461,-51.0283,656.687,135.975,-361.646,684.893,27.7772,-281.404,852.598,-64.5502,-284.436,851.945
0.292,61.2005,388.863,706.605,128.59,-51.0903,656.811,136.372,-361.586,684.858,27.8186,-281.326,852.476,-64.6766,-284.298,852.043
0.296,61.1155,388.851,706.639,128.775,-51.1569,656.796,136.294,-361.496,684.844,29.2004,-281.084,852.545,-64.761,-284.258,852.004
0.3,61.0624,388.866,706.688,128.674,-51.0047,656.775,136.39,-361.376,684.925,27.9397,-281.141,852.331,-64.68,-284.15,851.951
0.304,61.0019,388.92,706.751,128.613,-50.8855,656.712,136.39,-361.376,684.925,28.811,-280.721,852.532,-64.3738,-283.946,851.783
0.308,60.9718,388.949,706.732,128.551,-50.7814,656.719,136.39,-361.376,684.925,29.1138,-280.785,852.585,-64.4067,-283.797,851.79
0.312,61.0004,388.999,706.773,128.531,-50.7073,656.743,136.501,-361.461,685.04,29.1075,-280.628,852.434,-64.3477,-283.705,851.676
0.316,60.9572,388.995,706.77,128.687,-50.7179,656.764,136.8,-361.595,685.093,29.155,-280.318,852.299,-64.3223,-283.657,851.686
0.32,60.7544,389.117,706.765,128.654,-50.647,656.721,136.978,-361.575,685.117,29.0069,-280.101,852.254,-64.3917,-283.645,851.654
0.324,60.6783,389.268,706.819,128.709,-50.6041,656.74,136.977,-361.549,685.118,29.0069,-280.101,852.254,-64.2632,-283.386,851.647
0.328,60.6643,389.299,706.878,128.858,-50.5314,656.816,137.129,-361.565,685.182,29.1061,-279.936,852.172,-64.2,-283.324,851.531
0.332,60.6096,389.321,706.947,128.634,-50.1964,656.639,137.238,-361.593,685.178,29.3223,-279.848,852.216,-64.1643,-283.233,851.423
0.336,60.4364,389.485,706.981,128.612,-50.107,656.597,137.153,-361.386,685.132,29.3797,-279.691,852.193,-64.259,-283.138,851.395
0.34,60.3334,389.618,707.086,128.575,-49.9533,656.659,136.908,-361.04,685.123,29.6477,-279.663,852.059,-64.3138,-283.074,851.4
0.344,60.1628,389.667,707.158,128.575,-49.9533,656.659,137.016,-361.054,685.227,29.9065,-279.596,851.923,-64.243,-283.003,851.368
0.348,60.0172,389.734,707.353,128.575,-49.9533,656.659,136.936,-360.92,685.206,29.3681,-279.311,851.841,-64.3809,-282.925,851.341
0.352,60.0243,389.736,707.382,128.575,-49.9533,656.659,137.06,-360.865,685.113,29.3681,-279.311,851.841,-64.369,-282.855,851.379
0.356,59.9971,389.709,707.506,128.527,-49.7512,656.631,137.036,-360.803,685.156,29.4224,-279.307,851.804,-64.4337,-282.839,851.326
0.36,59.939,389.702,707.564,128.512,-49.6864,656.609,136.997,-360.702,685.117,29.2012,-279.179,851.768,-64.4157,-282.683,851.339
0.364,59.8079,389.81,707.623,128.389,-49.4763,656.574,137.001,-360.681,685.124,29.259,-279.039,851.793,-64.313,-282.631,851.311
0.368,59.7793,389.845,707.679,128.852,-49.2475,656.649,137.273,-360.763,685.224,29.3489,-278.919,851.732,-64.1934,-282.474,851.263
0.372,59.6109,389.873,707.763,128.264,-49.1977,656.451,137.367,-360.744,685.323,29.4252,-278.769,851.58,-64.2601,-282.386,851.296
0.376,59.6488,389.97,707.916,128.684,-48.9076,656.522,137.192,-360.461,685.182,29.4797,-278.641,851.547,-64.1059,-282.282,851.295
0.38,59.6414,389.982,707.965,128.732,-48.8303,656.459,137.148,-360.438,685.214,29.5413,-278.62,851.564,-64.0734,-282.213,851.27
0.384,59.6172,390.035,707.991,128.652,-48.8296,656.46,137.375,-360.542,685.233,29.772,-278.615,851.463,-64.0609,-282.163,851.208
0.388,59.5838,390.049,708.029,128.652,-48.8296,656.46,137.298,-360.407,685.189,29.991,-278.442,851.45,-64.1394,-282.139,851.209
0.392,59.497,390.08,708.059,128.652,-48.8296,656.46,137.314,-360.364,685.215,29.991,-278.442,851.45,-63.8654,-282.038,851.188
0.396,59.4708,390.061,708.084,128.591,-48.7932,656.38,137.306,-360.319,685.211,30.0729,-278.384,851.468,-63.756,-281.982,851.169
0.4,59.4182,390.021,708.133,128.579,-48.731,656.409,137.282,-360.202,685.274,30.1515,-278.366,851.456,-63.756,-281.982,851.169
0.404,59.3954,390.119,708.151,128.64,-48.7674,656.49,137.577,-360.195,685.328,32.5225,-278.551,851.403,-63.7193,-281.949,851.137
0.408,59.3631,390.166,708.206,128.579,-48.731,656.409,137.528,-360.039,685.301,30.0673,-278.229,851.56,-63.7451,-281.928,851.131
0.412,59.3137,390.17,708.293,128.591,-48.7932,656.38,137.428,-360.031,685.254,30.0782,-278.08,851.576,-63.33,-281.772,851.068
0.416,59.2826,390.246,708.435,128.526,-48.6679,656.317,137.398,-359.939,685.246,30.0782,-278.08,851.576,-63.4608,-281.629,851.139
0.42,59.2732,390.266,708.461,128.526,-48.6679,656.317,137.489,-359.965,685.219,30.1261,-278.06,851.603,-63.4608,-281.629,851.139
0.424,59.1753,390.335,708.537,128.273,-48.5042,656.219,137.531,-360.003,685.23,30.2759,-278.042,851.585,-63.4608,-281.629,851.139
0.428,59.0902,390.392,708.626,128.273,-48.5042,656.219,137.507,-359.907,685.238,30.4304,-277.998,851.597,-63.578,-281.604,851.306
0.432,59.0855,390.342,708.692,127.98,-48.2366,656.084,137.506,-359.908,685.169,33.2536,-278.415,851.453,-63.578,-281.604,851.306
0.436,58.9667,390.41,708.782,127.98,-48.2366,656.084,137.479,-359.764,685.237,33.2758,-278.389,851.445,-63.578,-281.604,851.306
0.44,59.0315,390.457,708.853,127.98,-48.2366,656.084,137.399,-359.665,685.226,33.2758,-278.389,851.445,-63.5427,-281.545,851.313
0.444,58.8779,390.491,709.001,127.942,-48.1659,656.037,137.357,-359.592,685.172,33.2875,-278.303,851.437,-63.4217,-281.492,851.293
0.448,58.9475,390.548,709.07,127.942,-48.1659,656.037,137.237,-359.367,685.105,33.2875,-278.303,851.437,-63.1894,-281.425,851.303
0.452,58.8931,390.535,709.149,127.778,-48.0615,655.934,137.289,-359.388,685.133,33.0719,-278.123,851.385,-63.1963,-281.426,851.378
0.456,58.8865,390.522,709.26,127.778,-48.0615,655.934,137.38,-359.432,685.12,33.0719,-278.123,851.385,-63.2064,-281.407,851.437
0.46,58.8974,390.522,709.318,127.778,-48.0615,655.934,137.303,-359.324,685.084,33.1524,-278.057,851.462,-63.2245,-281.45,851.513
0.464,58.867,390.551,709.299,127.766,-47.9993,655.964,137.432,-359.341,685.156,33.1524,-278.057,851.462,-63.203,-281.443,851.564
0.468,58.7424,390.576,709.34,127.766,-47.9993,655.964,137.603,-359.383,685.239,33.0032,-277.93,851.575,-63.203,-281.443,851.564
0.472,58.5539,390.605,709.433,127.766,-47.9993,655.964,137.625,-359.283,685.213,32.9174,-277.81,851.663,-63.0798,-281.406,851.568
0.476,58.3506,390.562,709.508,127.778,-48.0615,655.934,137.546,-359.156,685.138,32.9493,-277.789,851.678,-63.1809,-281.396,851.684
0.48,58.1033,390.602,709.544,127.766,-47.9993,655.964,137.669,-359.173,685.157,32.9493,-277.789,851.678,-63.1809,-281.396,851.684
0.484,58.0709,390.661,709.49,127.766,-47.9993,655.964,137.661,-359.139,685.151,32.9493,-277.789,851.678,-63.1809,-281.396,851.684
0.488,57.8211,390.868,709.42,127.778,-48.0615,655.934,137.604,-358.961,685.106,32.9744,-277.762,851.672,-62.8256,-281.311,851.727
