Frame number,19370
First frame,1
Point frequency,250
Analog frequency,250

Time,FINGER,,,ELBOW,,,SHOULDER,,,RIGHTHEAD,,,LEFTHEAD,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,59.4052,376.402,710.384,129.973,-64.5576,664.342,138.083,-380.076,684.208,32.4548,-317.738,860.147,-62.4239,-318.795,857.955
0.004,59.3644,376.431,710.329,129.973,-64.5576,664.342,138.083,-380.076,684.208,32.4356,-317.726,860.176,-62.4452,-318.774,858.005
0.008,59.352,376.417,710.263,129.897,-64.5005,664.254,138.102,-380.077,684.233,32.2779,-317.665,860.221,-62.6035,-318.748,858.011
0.012,59.3207,376.51,710.199,129.928,-64.4284,664.215,138.111,-380.105,684.242,32.2349,-317.556,860.233,-62.64,-318.747,857.97
0.016,59.309,376.535,710.187,129.874,-64.3646,664.239,138.131,-380.107,684.268,32.2559,-317.566,860.199,-62.64,-318.747,857.97
0.02,59.3359,376.549,710.137,129.874,-64.3585,664.171,138.131,-380.107,684.268,32.2578,-317.586,860.228,-62.64,-318.747,857.97
0.024,59.396,376.563,710.107,129.891,-64.3595,664.17,138.131,-380.107,684.268,32.241,-317.622,860.261,-62.64,-318.747,857.97
0.028,59.3648,376.619,709.975,129.891,-64.3595,664.17,138.062,-380.076,684.294,32.241,-317.622,860.261,-62.64,-318.747,857.97
0.032,59.4743,376.62,709.847,129.891,-64.3595,664.17,138.131,-380.107,684.268,32.2678,-317.594,860.266,-62.765,-318.735,858.028
0.036,59.4834,376.645,709.788,129.891,-64.3595,664.17,138.131,-380.107,684.268,32.241,-317.622,860.261,-62.765,-318.735,858.028
0.04,59.4474,376.639,709.752,129.879,-64.4233,664.141,138.062,-380.076,684.294,32.241,-317.622,860.261,-62.765,-318.735,858.028
0.044,59.4746,376.677,709.663,129.891,-64.3595,664.17,138.075,-380.068,684.313,32.2678,-317.594,860.266,-62.6234,-318.688,858.021
0.048,59.415,376.704,709.582,129.879,-64.4233,664.141,137.848,-379.956,684.299,32.1913,-317.619,860.262,-62.765,-318.735,858.028
0.052,59.3448,376.775,709.498,129.891,-64.3595,664.17,137.861,-379.946,684.318,32.1719,-317.53,860.303,-62.748,-318.677,858.079
0.056,59.3551,376.784,709.473,130.018,-64.4437,664.158,137.704,-379.877,684.294,32.1222,-317.527,860.304,-62.7798,-318.66,858.105
0.06,59.3214,376.826,709.438,129.891,-64.3595,664.17,137.639,-379.882,684.303,32.1451,-317.557,860.299,-62.8264,-318.655,858.163
0.064,59.2831,376.931,709.379,130.018,-64.4437,664.158,137.639,-379.882,684.303,32.1719,-317.53,860.303,-62.8264,-318.655,858.163
0.068,59.3224,376.969,709.334,129.993,-64.3733,664.126,137.586,-379.801,684.319,32.1719,-317.53,860.303,-62.9324,-318.636,858.107
0.072,59.312,376.992,709.275,129.986,-64.4041,664.039,137.558,-379.779,684.285,32.1451,-317.557,860.299,-63.0206,-318.513,858.218
0.076,59.3216,377.025,709.226,129.911,-64.2733,664.027,137.571,-379.751,684.344,32.1387,-317.553,860.362,-63.0609,-318.481,858.21
0.08,59.3418,377.082,709.172,129.894,-64.2462,663.93,137.586,-379.801,684.319,31.9503,-317.448,860.391,-62.9733,-318.465,858.225
0.084,59.2979,377.042,709.076,129.866,-64.1751,663.894,137.571,-379.751,684.344,31.9542,-317.431,860.454,-62.9733,-318.465,858.225
0.088,59.3211,377.085,709.029,129.818,-64.2154,663.818,137.571,-379.751,684.344,31.8042,-317.317,860.546,-62.8653,-318.439,858.234
0.092,59.2834,377.106,708.97,129.829,-64.1459,663.85,137.571,-379.751,684.344,31.9164,-317.401,860.503,-63.0053,-318.387,858.236
0.096,59.3149,377.155,708.882,129.829,-64.1459,663.85,137.489,-379.648,684.327,31.7776,-317.345,860.544,-62.974,-318.328,858.257
0.1,59.367,377.169,708.813,129.829,-64.1459,663.85,137.517,-379.666,684.362,31.8042,-317.317,860.546,-62.974,-318.328,858.257
0.104,59.3554,377.191,708.788,129.911,-64.2107,663.729,137.444,-379.582,684.364,31.7514,-317.313,860.547,-62.974,-318.328,858.257
0.108,59.3803,377.253,708.62,129.911,-64.2107,663.729,137.255,-379.503,684.295,31.8042,-317.317,860.546,-62.9274,-318.328,858.278
0.112,59.3209,377.293,708.519,129.877,-64.0778,663.711,137.225,-379.473,684.259,31.8042,-317.317,860.546,-62.9274,-318.328,858.278
0.116,59.2816,377.361,708.421,129.833,-64.1163,663.635,137.255,-379.503,684.295,31.6662,-317.252,860.593,-62.9389,-318.264,858.226
0.12,59.2978,377.33,708.322,129.839,-64.0475,663.667,137.224,-379.481,684.33,31.6662,-317.252,860.593,-62.9389,-318.264,858.226
0.124,59.3645,377.366,708.247,129.833,-64.1163,663.635,137.403,-379.568,684.442,31.5769,-317.267,860.579,-62.9389,-318.264,858.226
0.128,59.3497,377.373,708.19,129.839,-64.0998,663.588,137.214,-379.489,684.373,31.6353,-317.236,860.624,-63.0239,-318.157,858.354
0.132,59.395,377.417,708.042,129.845,-64.031,663.62,137.17,-379.449,684.478,31.6662,-317.252,860.593,-63.113,-318.107,858.453
0.136,59.4332,377.464,707.966,129.839,-64.0998,663.588,137.069,-379.391,684.465,31.2775,-317.124,860.686,-63.1958,-318.081,858.482
0.14,59.3581,377.425,707.855,129.799,-64.0368,663.539,137.145,-379.389,684.453,31.3976,-317.154,860.683,-63.4284,-318.033,858.574
0.144,59.2759,377.502,707.717,129.799,-64.0368,663.539,137.094,-379.323,684.394,31.2457,-317.026,860.712,-63.3648,-318.015,858.521
0.148,59.3302,377.551,707.577,129.805,-63.9681,663.571,137.048,-379.352,684.441,31.175,-317.016,860.718,-63.3648,-318.015,858.521
0.152,59.2504,377.598,707.478,129.799,-64.0368,663.539,137.094,-379.323,684.394,31.1036,-316.919,860.701,-63.4284,-318.033,858.574
0.156,59.2317,377.601,707.438,129.785,-64.0427,663.537,137.123,-379.351,684.429,31.0786,-316.922,860.667,-63.4729,-318.042,858.512
0.16,59.2039,377.646,707.327,129.805,-63.9681,663.571,137.094,-379.323,684.394,31.0726,-316.847,860.695,-63.5365,-318.059,858.565
0.164,59.2244,377.708,707.235,129.785,-64.0427,663.537,137.044,-379.273,684.414,30.9653,-316.758,860.692,-63.7716,-318.055,858.612
0.168,59.2058,377.706,707.139,129.799,-64.0368,663.539,137.044,-379.273,684.414,30.9653,-316.758,860.692,-63.7048,-318.039,858.559
0.172,59.167,377.761,707.113,129.785,-64.0427,663.537,137.097,-379.291,684.477,31.1719,-316.779,860.726,-63.8378,-318.02,858.615
0.176,59.1959,377.916,706.973,129.805,-63.9681,663.571,137.097,-379.291,684.477,31.1719,-316.779,860.726,-63.8378,-318.02,858.615
0.18,59.1969,377.947,706.899,129.799,-64.0368,663.539,137.076,-379.252,684.455,31.1719,-316.779,860.726,-63.9915,-317.956,858.639
0.184,59.1891,377.915,706.823,129.805,-63.9681,663.571,137.076,-379.252,684.455,31.0948,-316.67,860.771,-64.0663,-317.968,858.693
0.188,59.1649,377.895,706.792,129.799,-64.0368,663.539,136.817,-379.067,684.358,30.99,-316.585,860.761,-64.0663,-317.968,858.693
0.192,59.1721,377.902,706.766,129.771,-63.966,663.503,136.926,-379.147,684.423,31.0171,-316.559,860.767,-63.9915,-317.956,858.639
0.196,59.1859,377.975,706.732,129.606,-63.6667,663.323,136.979,-379.091,684.439,31.0317,-316.532,860.753,-64.0785,-317.925,858.651
0.2,59.1934,377.987,706.632,129.528,-63.4236,663.25,136.795,-379.013,684.387,30.9451,-316.443,860.769,-64.1211,-317.876,858.695
0.204,59.1866,378.047,706.596,129.528,-63.4236,663.25,136.781,-378.872,684.391,30.7544,-316.367,860.717,-64.0462,-317.864,858.641
0.208,59.1392,378.225,706.443,129.728,-63.5534,663.279,136.781,-378.872,684.391,30.7932,-316.33,860.749,-63.912,-317.813,858.624
0.212,59.1408,378.286,706.405,129.672,-63.4965,663.225,136.7,-378.834,684.409,30.8298,-316.289,860.761,-63.9857,-317.756,858.58
0.216,59.1145,378.288,706.364,129.678,-63.5618,663.194,136.637,-378.738,684.358,30.8298,-316.289,860.761,-64.0632,-317.724,858.606
0.22,59.1153,378.323,706.265,129.678,-63.5618,663.194,136.42,-378.433,684.305,30.8739,-316.239,860.759,-64.063,-317.695,858.577
0.224,58.9921,378.425,706.136,129.712,-63.4153,663.159,136.349,-378.366,684.366,30.8032,-316.129,860.727,-64.063,-317.695,858.577
0.228,58.9485,378.507,706.069,129.705,-63.484,663.128,136.308,-378.289,684.321,30.8032,-316.129,860.727,-64.1625,-317.62,858.595
0.232,58.9122,378.52,706.005,129.712,-63.4153,663.159,136.334,-378.329,684.35,30.728,-316.115,860.736,-64.2244,-317.605,858.574
0.236,58.8665,378.648,705.951,129.712,-63.4153,663.159,136.296,-378.253,684.311,30.8032,-316.129,860.727,-64.3076,-317.485,858.591
0.24,58.8182,378.692,705.898,129.697,-63.3673,663.106,136.24,-378.167,684.326,30.8032,-316.129,860.727,-64.4231,-317.482,858.653
0.244,58.7975,378.721,705.911,129.638,-63.3455,663.017,136.24,-378.167,684.326,30.7008,-316.048,860.761,-64.2669,-317.454,858.562
0.248,58.7289,378.723,705.864,129.709,-63.3479,663.013,136.166,-378.152,684.345,30.6255,-316.035,860.769,-64.3541,-317.423,858.595
0.252,58.7497,378.742,705.842,129.707,-63.3184,662.96,136.224,-378.13,684.309,30.8228,-316.051,860.797,-64.4724,-317.357,858.63
0.256,58.7497,378.742,705.842,129.641,-63.2424,662.999,136.279,-378.109,684.357,30.6078,-315.945,860.767,-64.563,-317.323,858.647
0.26,58.737,378.73,705.766,129.713,-63.202,662.996,136.229,-378.113,684.411,30.6148,-315.919,860.743,-64.4429,-317.274,858.627
0.264,58.7292,378.883,705.577,129.635,-63.0614,662.936,136.347,-378.132,684.488,30.5973,-315.837,860.752,-64.4932,-317.228,858.652
0.268,58.5908,378.87,705.519,129.463,-62.7721,662.845,136.227,-378.049,684.538,30.5973,-315.837,860.752,-64.4585,-317.176,858.672
0.272,58.6584,378.889,705.483,129.556,-62.9175,662.774,136.305,-378.063,684.519,30.49,-315.749,860.743,-64.6307,-317.127,858.62
0.276,58.6319,378.917,705.418,129.403,-62.7438,662.713,136.239,-378.039,684.555,30.6123,-315.749,860.691,-64.6307,-317.127,858.62
0.28,58.5712,378.944,705.344,129.327,-62.6356,662.612,136.239,-378.039,684.555,30.3409,-315.645,860.646,-64.7403,-317.067,858.71
0.284,58.5712,378.944,705.344,129.328,-62.7145,662.575,136.245,-377.967,684.529,30.4161,-315.658,860.637,-64.7091,-317.05,858.617
0.288,58.5752,379.027,705.242,129.208,-62.3503,662.528,136.015,-377.749,684.491,30.4869,-315.633,860.661,-64.7983,-316.946,858.627
0.292,58.511,379.092,705.209,129.209,-62.4292,662.492,136.092,-377.763,684.471,30.4869,-315.633,860.661,-64.8547,-316.938,858.59
0.296,58.4578,379.191,705.1,129.255,-62.3799,662.452,136.015,-377.749,684.491,30.2782,-315.422,860.594,-64.8266,-316.855,858.57
0.3,58.4115,379.251,705.079,129.112,-62.2465,662.466,136.015,-377.749,684.491,30.3928,-315.48,860.55,-64.8413,-316.744,858.578
0.304,58.4907,379.312,704.975,129.111,-62.1675,662.502,135.936,-377.614,684.487,30.1111,-315.275,860.505,-64.8631,-316.674,858.573
0.308,58.4388,379.336,704.923,129.344,-62.0622,662.459,135.969,-377.652,684.464,30.1734,-315.287,860.497,-64.8242,-316.609,858.577
0.312,58.4842,379.399,704.879,129.349,-62.0688,662.457,135.965,-377.605,684.486,30.1727,-315.219,860.439,-64.8242,-316.609,858.577
0.316,58.4842,379.399,704.879,129.305,-62.017,662.403,135.931,-377.566,684.509,30.1102,-315.207,860.447,-64.7872,-316.522,858.537
0.32,58.4302,379.46,704.789,129.3,-62.0107,662.406,135.936,-377.546,684.517,30.2335,-315.149,860.456,-64.9194,-316.499,858.588
0.324,58.4288,379.473,704.728,129.103,-62.1907,662.235,135.846,-377.412,684.485,30.0277,-315.069,860.399,-64.9098,-316.387,858.563
0.328,58.402,379.526,704.612,129.264,-61.9166,662.279,135.846,-377.412,684.485,29.917,-314.839,860.417,-64.9906,-316.362,858.559
0.332,58.4135,379.525,704.582,129.066,-62.0341,662.234,135.813,-377.373,684.508,29.917,-314.839,860.417,-64.939,-316.307,858.481
0.336,58.4135,379.525,704.582,129.367,-61.9248,662.271,135.926,-377.423,684.466,29.899,-314.833,860.382,-65.046,-316.256,858.484
0.34,58.413,379.539,704.548,129.061,-62.0594,662.179,135.813,-377.373,684.508,29.8277,-314.667,860.316,-65.1234,-316.224,858.51
0.344,58.447,379.597,704.534,128.98,-61.927,662.139,135.723,-377.296,684.511,29.8442,-314.624,860.303,-64.9901,-316.174,858.495
0.348,58.4189,379.572,704.529,129.263,-61.7841,662.076,135.694,-377.262,684.478,29.7159,-314.58,860.238,-65.0529,-316.159,858.475
0.352,58.3362,379.737,704.387,129.462,-61.9118,662.125,135.694,-377.262,684.478,29.4886,-314.398,860.279,-65.0685,-316.087,858.409
0.356,58.2673,379.83,704.253,129.137,-62.1049,662.015,135.795,-377.338,684.427,29.5964,-314.397,860.228,-65.1992,-316.049,858.368
0.36,58.2169,379.868,704.22,129.107,-62.0334,661.976,135.694,-377.262,684.478,29.431,-314.258,860.185,-65.1672,-316.02,858.338
0.364,58.2169,379.868,704.22,129.107,-62.0334,661.976,135.638,-377.198,684.412,29.3911,-314.211,860.191,-65.2445,-315.988,858.35
0.368,58.1402,379.882,704.195,129.107,-62.0334,661.976,135.745,-377.235,684.43,29.2514,-314.174,860.122,-65.2083,-315.932,858.363
0.372,58.1499,379.872,704.133,129.47,-61.8974,662.023,135.67,-377.236,684.39,29.2514,-314.174,860.122,-65.2515,-315.928,858.327
0.376,58.1046,379.864,704.075,129.105,-61.9752,661.867,135.638,-377.198,684.412,29.1029,-313.996,860.166,-65.3199,-315.91,858.311
0.38,58.0972,379.858,704.026,129.105,-61.9752,661.867,135.67,-377.236,684.39,29.1813,-314.055,860.119,-65.3199,-315.91,858.311
0.384,58.1016,379.883,703.988,129.105,-61.9752,661.867,135.568,-377.109,684.411,29.1491,-313.961,860.08,-65.3599,-315.823,858.332
0.388,58.1285,379.925,703.951,129.401,-61.7602,661.954,135.618,-377.159,684.391,29.1134,-313.885,860.065,-65.4751,-315.8,858.283
0.392,58.0388,379.943,703.911,129.098,-61.883,661.911,135.568,-377.109,684.411,29.0768,-313.764,860.025,-65.4319,-315.747,858.207
0.396,58.0719,379.956,703.855,129.281,-61.5864,661.915,135.568,-377.109,684.411,29.0768,-313.764,860.025,-65.5147,-315.704,858.173
0.4,58.0719,379.956,703.855,129.041,-61.8525,661.803,135.568,-377.109,684.411,29.0768,-313.764,860.025,-65.6022,-315.72,858.157
0.404,58.0719,379.968,703.825,129.041,-61.8525,661.803,135.681,-377.158,684.369,29.0585,-313.722,860.059,-65.5688,-315.661,858.155
0.408,58.0625,380.087,703.796,129.27,-61.5075,661.783,135.568,-377.109,684.411,29.0585,-313.722,860.059,-65.6022,-315.72,858.157
0.412,58.069,380.058,703.784,128.918,-61.6526,661.731,135.568,-377.109,684.411,29.1994,-313.757,859.986,-65.5452,-315.612,858.136
0.416,58.069,380.058,703.784,128.974,-61.7227,661.697,135.568,-377.109,684.411,29.229,-313.727,860.012,-65.5452,-315.612,858.136
0.42,58.069,380.058,703.784,129.27,-61.5075,661.783,135.645,-377.119,684.393,29.0468,-313.621,859.989,-65.6245,-315.585,858.143
0.424,58.1187,380.135,703.773,129.27,-61.5075,661.783,135.568,-377.109,684.411,29.1253,-313.681,859.942,-65.7717,-315.58,858.126
0.428,58.1859,380.17,703.736,129.27,-61.5075,661.783,135.645,-377.119,684.393,29.1005,-313.637,859.978,-65.7717,-315.58,858.126
0.432,58.1632,380.232,703.724,129.27,-61.5075,661.783,135.645,-377.119,684.393,29.0227,-313.601,859.976,-65.7717,-315.58,858.126
0.436,58.1916,380.193,703.741,129.27,-61.5075,661.783,135.645,-377.119,684.393,28.9978,-313.556,860.012,-65.9599,-315.549,858.107
0.44,58.1916,380.193,703.741,129.27,-61.5075,661.783,135.645,-377.119,684.393,28.8395,-313.538,859.925,-66.0076,-315.489,858.109
0.444,58.1926,380.262,703.737,129.281,-61.516,661.778,135.645,-377.119,684.393,28.8147,-313.494,859.961,-66.0076,-315.489,858.109
0.448,58.2403,380.322,703.71,128.974,-61.7227,661.697,135.645,-377.119,684.393,28.8772,-313.468,859.98,-66.0076,-315.489,858.109
0.452,58.2403,380.322,703.71,128.908,-61.5791,661.705,135.641,-377.091,684.391,29.1853,-313.492,859.972,-66.0076,-315.489,858.109
0.456,58.2498,380.344,703.737,128.908,-61.5791,661.705,135.676,-377.131,684.367,29.1853,-313.492,859.972,-66.0076,-315.489,858.109
0.46,58.2498,380.344,703.737,128.908,-61.5791,661.705,135.624,-377.025,684.377,29.1853,-313.492,859.972,-66.0341,-315.518,858.068
0.464,58.2807,380.414,703.724,129.204,-61.3637,661.791,135.584,-376.954,684.322,29.142,-313.477,859.982,-66.1006,-315.484,858.113
0.468,58.2807,380.414,703.724,128.908,-61.5791,661.705,135.584,-376.954,684.322,29.1853,-313.492,859.972,-66.1006,-315.484,858.113
0.472,58.2807,380.414,703.724,129.204,-61.3637,661.791,135.584,-376.954,684.322,29.0222,-313.475,859.979,-66.1006,-315.484,858.113
0.476,58.3281,380.456,703.728,129.147,-61.3126,661.817,135.548,-376.815,684.318,29.142,-313.477,859.982,-66.0738,-315.455,858.154
0.48,58.409,380.47,703.779,129.214,-61.3319,661.8,135.548,-376.815,684.318,29.1937,-313.464,859.948,-66.1006,-315.484,858.113
0.484,58.4292,380.523,703.83,129.157,-61.2808,661.826,135.548,-376.815,684.318,29.1216,-313.392,859.98,-66.1006,-315.484,858.113
0.488,58.398,380.518,703.893,129.157,-61.2808,661.826,135.548,-376.815,684.318,29.1436,-313.393,860.016,-66.1006,-315.484,858.113
